DATE,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
"Jul 01, 2025",207.19,284.17,220.46,319.18,209.79,386.73,270.32,67.55,141.00,122.66,695.57,366.22,221.44,286.03,152.99,284.87,70.15,292.41,151.77,79.73,489.21,72.09,153.27,157.89,352.93,263.92,319.45,353.42,40.92,97.61
"Jul 02, 2025",211.80,290.36,219.92,322.23,212.03,394.16,267.64,67.05,143.33,122.15,704.86,364.94,221.90,282.54,152.64,286.43,69.40,289.60,151.92,80.30,488.25,75.02,157.22,157.87,350.15,254.37,301.25,352.17,40.84,96.99
"Jul 03, 2025",212.90,291.72,223.41,325.55,215.92,393.60,270.56,68.22,143.71,123.17,712.53,364.77,222.96,286.78,153.08,291.75,69.83,289.06,150.91,78.88,495.96,75.02,159.31,157.51,351.63,261.08,302.22,356.79,40.80,97.73
"Jul 07, 2025",209.31,286.55,223.47,320.19,218.63,387.32,268.23,67.78,142.77,122.33,699.97,360.80,221.98,287.27,152.36,287.78,69.50,288.52,149.82,78.85,494.85,75.15,158.21,157.19,343.98,256.00,297.48,354.58,40.10,98.71
"Jul 08, 2025",209.37,290.51,219.36,314.48,218.52,390.07,272.05,67.45,148.43,121.00,686.53,360.67,222.40,285.26,152.87,278.72,68.75,286.69,151.70,79.30,493.75,72.59,159.97,154.63,343.69,253.43,301.39,352.50,40.34,96.47
"Jul 09, 2025",210.50,290.04,222.54,314.85,226.60,397.87,269.34,68.12,148.21,119.80,685.82,364.14,221.40,284.99,153.35,279.10,68.00,288.02,153.91,81.58,500.60,72.24,162.85,154.27,349.19,252.37,296.69,355.69,39.92,96.19
"Jul 10, 2025",211.77,293.81,222.26,322.68,226.09,403.96,262.43,67.62,149.33,120.74,698.19,366.36,219.59,282.32,154.73,284.05,68.29,293.30,155.23,81.89,498.58,73.28,164.07,155.22,349.48,253.03,293.36,353.82,40.01,94.25
"Jul 11, 2025",210.52,288.82,225.02,316.95,226.84,401.57,256.56,66.82,150.43,119.06,694.08,363.19,218.81,278.55,153.96,282.74,68.38,294.79,153.77,81.24,500.41,71.32,164.89,153.81,343.62,251.54,297.86,345.92,39.62,93.80
"Jul 14, 2025",207.99,290.54,225.69,318.39,230.51,401.43,258.17,66.69,146.89,119.16,702.31,363.23,220.79,278.75,153.88,284.56,67.99,296.73,155.81,81.55,500.11,70.95,164.04,150.59,342.20,252.52,294.41,348.47,39.58,95.17
"Jul 15, 2025",208.48,286.12,226.35,308.20,230.00,400.31,256.08,66.06,145.96,118.18,691.68,351.97,218.23,277.68,152.26,282.44,67.89,294.51,154.51,79.45,502.90,70.69,170.67,149.53,336.78,247.73,285.72,345.01,39.28,94.78
"Jul 16, 2025",209.52,292.49,223.19,309.44,229.90,408.46,256.45,66.25,145.21,119.01,697.89,350.76,219.69,276.91,161.69,281.72,67.80,293.80,155.47,80.34,502.70,70.80,171.34,150.56,337.59,249.28,286.49,347.88,39.27,94.54
"Jul 17, 2025",209.38,291.73,223.88,312.87,231.00,413.59,258.36,67.16,146.63,121.39,694.96,352.36,221.07,276.99,159.92,285.74,69.09,295.24,156.93,79.45,508.74,71.67,172.97,152.41,337.63,258.79,282.16,347.79,38.99,94.48
"Jul 18, 2025",210.54,288.32,226.13,305.52,229.34,409.28,260.85,66.92,145.33,120.60,697.34,352.72,219.38,280.79,160.63,287.09,68.36,292.00,151.19,77.93,507.10,71.17,172.38,152.94,337.80,262.90,276.85,347.03,38.88,94.44
"Jul 21, 2025",211.84,289.41,229.30,300.58,229.32,407.17,260.75,67.20,144.98,120.03,695.12,357.27,218.15,279.65,161.28,286.79,68.58,290.69,150.79,77.30,507.11,72.69,171.35,152.87,339.02,260.20,276.35,348.91,40.45,95.06
"Jul 22, 2025",213.75,299.01,227.47,301.74,228.48,414.24,262.05,67.03,145.33,120.25,689.61,364.11,219.41,276.95,164.78,287.25,68.18,294.06,149.19,79.54,502.35,74.03,167.00,156.11,337.80,263.70,279.28,349.83,40.90,95.24
"Jul 23, 2025",213.50,302.46,228.29,306.23,233.88,424.56,265.66,67.48,148.31,122.11,706.46,369.35,221.91,277.00,165.93,292.50,67.69,293.03,148.82,81.85,502.95,75.37,170.75,156.07,340.65,261.68,286.51,353.24,40.78,95.07
"Jul 24, 2025",213.11,301.81,232.23,305.82,231.27,426.48,266.14,67.15,150.94,121.13,708.10,366.15,208.19,255.88,166.38,292.29,67.63,289.45,147.32,81.97,507.93,74.06,173.71,156.60,337.94,258.97,272.86,351.92,41.01,95.98
"Jul 25, 2025",213.23,299.88,231.44,309.16,233.06,430.68,267.54,67.55,149.98,120.65,717.74,368.36,207.97,255.11,165.14,294.33,67.70,293.38,149.26,82.56,510.74,74.90,173.47,156.09,337.83,258.04,275.29,354.98,41.01,96.85
"Jul 28, 2025",213.40,294.71,232.79,308.29,236.41,429.87,268.67,66.79,151.37,119.56,712.50,370.22,208.75,258.53,163.10,294.00,66.64,294.11,150.03,81.93,509.54,77.81,176.72,154.92,333.91,251.97,276.33,353.42,40.33,96.99
"Jul 29, 2025",210.63,296.93,231.01,306.11,226.08,427.00,265.83,66.83,152.10,119.10,720.70,370.32,205.63,257.75,164.96,292.78,67.90,297.50,149.77,80.53,509.61,76.92,175.48,154.43,334.72,256.82,255.71,349.26,40.66,97.70
"Jul 30, 2025",208.42,294.79,230.19,301.02,225.84,431.05,263.27,67.15,148.74,118.74,719.49,365.16,206.04,255.64,164.12,295.33,67.29,298.43,144.67,79.67,510.28,75.30,179.24,150.75,329.76,255.93,260.58,348.88,40.56,96.97
"Jul 31, 2025",206.94,288.65,234.11,296.95,221.84,434.92,256.82,66.95,146.88,118.31,712.44,360.68,206.22,248.65,161.65,291.99,66.45,294.95,147.24,76.14,530.42,73.35,177.84,148.37,328.67,257.24,244.44,343.47,40.71,97.35
"Aug 01, 2025",201.77,290.39,214.75,291.95,221.90,425.65,249.28,65.99,146.64,115.81,698.63,366.71,201.91,245.61,164.19,285.22,67.40,297.72,142.49,77.28,521.08,73.28,173.69,148.55,341.11,255.34,232.89,337.39,40.82,97.86
"Aug 04, 2025",202.73,295.34,211.65,296.24,222.34,430.63,250.85,67.35,146.30,118.55,714.84,373.74,204.77,247.50,167.83,290.04,67.49,299.04,145.91,77.83,532.55,73.47,179.97,148.66,345.52,259.96,236.03,340.17,40.89,98.95
"Aug 05, 2025",202.30,293.52,213.75,294.30,224.86,431.15,246.05,66.40,148.23,117.52,709.80,378.24,205.02,246.22,167.54,287.19,67.58,293.67,148.10,78.74,524.70,73.04,178.23,148.41,349.74,262.11,245.85,335.48,40.62,98.67
"Aug 06, 2025",212.60,278.45,222.31,293.21,225.04,424.69,247.72,68.06,147.98,114.40,713.57,379.61,203.32,247.80,167.39,287.17,68.03,302.41,148.82,77.42,521.91,74.12,179.39,150.73,348.39,264.49,240.74,337.78,40.32,102.70
"Aug 07, 2025",219.36,278.48,223.13,292.41,227.33,414.17,239.47,68.74,148.35,112.12,708.65,378.99,200.86,245.72,168.31,282.82,68.93,302.65,149.72,78.33,517.83,73.01,180.74,151.35,347.59,262.30,239.65,330.17,40.89,102.46
"Aug 08, 2025",228.65,281.93,222.69,295.09,229.12,413.57,239.11,70.60,150.14,111.67,710.15,380.64,200.61,239.58,170.08,284.62,68.84,300.24,151.26,78.64,519.02,72.85,182.67,151.37,349.81,261.81,245.74,334.83,41.08,103.07
"Aug 11, 2025",226.75,278.86,221.30,293.90,225.96,405.65,231.32,69.50,148.63,111.79,708.15,380.32,200.74,233.67,170.56,285.40,69.25,299.17,153.25,78.00,518.76,72.69,182.03,152.82,352.21,261.21,247.19,333.96,41.11,103.26
"Aug 12, 2025",229.21,278.75,221.47,300.82,232.61,409.79,230.31,70.19,149.59,112.96,731.92,388.64,201.26,232.16,169.54,288.65,69.21,296.49,155.75,78.26,526.18,73.55,183.13,152.93,355.70,260.88,256.20,335.38,41.17,102.96
"Aug 13, 2025",232.89,283.01,224.56,304.45,233.37,410.77,235.65,69.23,150.97,115.86,733.21,399.61,203.80,237.40,171.15,286.36,68.96,299.86,158.07,80.61,517.57,75.81,181.56,153.24,366.36,266.19,266.23,341.17,41.61,100.34
"Aug 14, 2025",232.34,283.95,230.98,305.31,233.19,414.54,232.01,68.15,150.29,115.53,735.68,392.88,202.37,234.47,171.44,289.94,68.07,303.68,154.57,80.66,519.46,75.02,181.99,151.60,363.13,265.49,265.92,344.10,41.41,100.20
"Aug 15, 2025",231.15,289.99,231.03,303.06,235.26,404.90,241.03,65.10,151.63,114.61,719.46,391.95,202.09,237.05,173.33,286.32,68.43,303.66,150.37,82.07,517.17,75.58,180.42,152.21,362.75,262.52,297.77,343.08,42.12,99.59
