"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",328.69,329.50,327.06,327.31,325.06,1417300
"Dec 30, 2025",328.65,329.77,325.83,328.69,326.43,1255900
"Dec 29, 2025",332.46,333.50,329.47,329.63,327.36,2181000
"Dec 26, 2025",333.65,333.98,330.85,332.93,330.64,792600
"Dec 24, 2025",330.72,334.38,330.72,333.96,331.66,833700
"Dec 23, 2025",328.09,333.67,328.07,331.49,329.21,1552800
"Dec 22, 2025",327.01,331.88,326.08,331.39,329.11,2400400
"Dec 19, 2025",325.56,331.50,324.73,327.38,325.13,13465700
"Dec 18, 2025",326.27,328.24,321.91,324.42,322.19,2669000
"Dec 17, 2025",327.52,330.04,325.43,326.01,323.77,2517300
"Dec 16, 2025",324.82,327.34,323.02,326.74,324.49,2642500
"Dec 15, 2025",321.21,325.77,319.06,325.31,323.07,4049500
"Dec 12, 2025",317.30,319.46,315.19,317.74,315.55,2247200
"Dec 11, 2025",317.89,320.19,312.39,317.38,315.20,2454800
"Dec 10, 2025",316.25,317.47,313.00,315.38,313.21,3071500
"Dec 09, 2025",321.82,323.00,313.18,313.85,311.69,2924900
"Dec 08, 2025",329.09,329.67,320.17,321.23,319.02,3510700
"Dec 05, 2025",340.36,340.88,328.63,329.89,327.62,2897700
"Dec 04, 2025",344.23,346.33,338.94,340.16,337.82,3695700
"Dec 03, 2025",340.54,346.38,338.85,345.42,343.04,2839100
"Dec 02, 2025",338.86,342.50,336.33,338.36,336.03,2446500
"Dec 01, 2025",343.07,343.98,336.25,337.49,335.17,2383800
"Nov 28, 2025",344.00,345.66,342.26,345.46,343.08,1268800
"Nov 26, 2025",341.53,345.03,340.00,344.57,342.20,2333100
"Nov 25, 2025",335.41,341.73,335.41,341.11,338.76,2868600
"Nov 24, 2025",335.84,338.66,331.71,334.30,332.00,3551600
"Nov 21, 2025",334.87,342.84,334.74,337.54,335.22,4128600
"Nov 20, 2025",344.52,345.09,335.00,336.07,331.39,3183700
"Nov 19, 2025",343.47,345.29,340.02,342.40,337.64,2129800
"Nov 18, 2025",343.73,345.49,339.30,343.99,339.20,2966600
"Nov 17, 2025",337.64,344.06,336.83,341.71,336.96,2996600
"Nov 14, 2025",336.74,339.80,330.35,336.74,332.05,3310300
"Nov 13, 2025",337.90,345.84,335.12,336.00,331.32,3413500
"Nov 12, 2025",338.64,342.40,335.82,336.28,331.60,2941000
"Nov 11, 2025",323.42,338.55,323.42,338.45,333.74,3136500
"Nov 10, 2025",320.60,326.18,319.54,323.66,319.16,2518600
"Nov 07, 2025",316.08,321.42,314.00,320.20,315.74,2665200
"Nov 06, 2025",319.10,321.31,312.52,315.59,311.20,3330300
"Nov 05, 2025",303.13,322.98,302.13,319.86,315.41,5486200
"Nov 04, 2025",298.71,299.06,294.48,296.70,292.57,3412500
"Nov 03, 2025",298.43,301.00,292.12,296.30,292.18,2753300
"Oct 31, 2025",288.46,298.88,288.00,298.43,294.28,2687100
"Oct 30, 2025",290.58,294.56,289.00,292.00,287.94,2058200
"Oct 29, 2025",291.76,294.81,289.44,291.77,287.71,2824300
"Oct 28, 2025",288.93,292.63,288.26,292.09,288.03,2217200
"Oct 27, 2025",291.21,292.00,288.26,291.16,287.11,1794300
"Oct 24, 2025",292.89,293.94,290.66,291.76,287.70,1376300
"Oct 23, 2025",296.01,296.46,291.91,292.89,288.81,1496800
"Oct 22, 2025",301.29,302.82,295.60,295.98,291.86,1698500
"Oct 21, 2025",302.60,303.85,298.03,301.14,296.95,1533400
"Oct 20, 2025",299.48,303.66,297.75,303.33,299.11,1613400
"Oct 17, 2025",295.24,299.37,293.14,298.81,294.65,1959400
"Oct 16, 2025",298.07,302.27,294.44,295.81,291.69,1715000
"Oct 15, 2025",292.82,298.21,292.43,297.32,293.18,2502100
"Oct 14, 2025",291.75,296.87,290.97,293.85,289.76,1975900
"Oct 13, 2025",291.75,296.13,289.44,292.40,288.33,1838400
"Oct 10, 2025",296.16,297.09,289.58,290.13,286.09,2660500
"Oct 09, 2025",294.13,296.63,293.70,295.43,291.32,1369000
"Oct 08, 2025",295.79,297.63,292.29,294.62,290.52,2940600
"Oct 07, 2025",293.27,295.85,290.21,295.54,291.43,1504300
"Oct 06, 2025",297.62,297.62,293.03,294.12,290.03,1957300
"Oct 03, 2025",297.72,301.54,295.63,297.89,293.74,2518500
"Oct 02, 2025",298.31,300.50,295.46,297.40,293.26,2123200
"Oct 01, 2025",284.45,301.66,283.00,298.50,294.35,4835400
"Sep 30, 2025",274.14,284.82,274.02,282.20,278.27,3508700
"Sep 29, 2025",273.10,274.52,270.67,273.97,270.16,1769100
"Sep 26, 2025",274.34,275.50,269.77,272.98,269.18,1812200
"Sep 25, 2025",279.00,281.05,270.64,271.18,267.41,2802700
"Sep 24, 2025",285.47,286.70,278.00,279.22,275.33,2374200
"Sep 23, 2025",283.96,287.26,283.96,286.81,282.82,2342000
"Sep 22, 2025",284.13,287.20,281.71,286.00,282.02,3050500
"Sep 19, 2025",278.64,286.15,277.37,285.41,281.44,8735100
"Sep 18, 2025",274.70,276.50,273.97,275.83,271.99,3322500
"Sep 17, 2025",274.14,277.80,273.00,274.71,270.89,1748800
"Sep 16, 2025",275.89,277.59,271.73,273.08,269.28,2157400
"Sep 15, 2025",276.07,277.24,271.61,274.40,270.58,2563100
"Sep 12, 2025",281.04,282.94,276.07,276.39,272.54,2143700
"Sep 11, 2025",278.52,282.90,278.00,282.73,278.80,2233100
"Sep 10, 2025",280.00,280.31,275.16,278.51,274.63,2150700
"Sep 09, 2025",279.50,282.08,278.78,279.97,276.07,1733000
"Sep 08, 2025",281.05,282.43,277.32,280.19,276.29,2452900
"Sep 05, 2025",279.80,285.29,279.00,283.64,279.69,2299400
"Sep 04, 2025",284.76,284.76,278.75,280.10,276.20,2622000
"Sep 03, 2025",284.08,286.93,280.38,283.85,279.90,2604100
"Sep 02, 2025",287.49,288.74,284.71,286.92,282.93,1948200
"Aug 29, 2025",285.80,288.30,285.16,287.71,283.71,1302700
"Aug 28, 2025",287.23,287.23,284.87,285.61,281.64,1886700
"Aug 27, 2025",288.84,290.25,286.65,287.97,283.96,1400800
"Aug 26, 2025",287.77,289.89,286.53,289.58,285.55,1750400
"Aug 25, 2025",292.61,294.60,287.56,288.47,284.46,1734300
