"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",232.91,232.99,230.12,230.82,230.82,24383700
"Dec 30, 2025",231.21,232.77,230.20,232.53,232.53,21910500
"Dec 29, 2025",231.94,232.60,230.77,232.07,232.07,19797900
"Dec 26, 2025",232.04,232.99,231.18,232.52,232.52,15994700
"Dec 24, 2025",232.13,232.95,231.33,232.38,232.38,11420500
"Dec 23, 2025",229.06,232.45,228.73,232.14,232.14,29230200
"Dec 22, 2025",228.61,229.48,226.71,228.43,228.43,32261300
"Dec 19, 2025",226.76,229.13,225.58,227.35,227.35,85544400
"Dec 18, 2025",225.71,229.23,224.41,226.76,226.76,50272400
"Dec 17, 2025",224.66,225.19,220.99,221.27,221.27,44034400
"Dec 16, 2025",223.04,223.66,221.13,222.56,222.56,39298900
"Dec 15, 2025",227.93,227.93,221.50,222.54,222.54,47286100
"Dec 12, 2025",229.87,230.08,225.12,226.19,226.19,35639100
"Dec 11, 2025",230.71,232.11,228.69,230.28,230.28,28249600
"Dec 10, 2025",228.81,232.42,228.46,231.78,231.78,38790700
"Dec 09, 2025",226.84,228.57,225.11,227.92,227.92,25841700
"Dec 08, 2025",229.59,230.83,226.27,226.89,226.89,35019200
"Dec 05, 2025",230.32,231.24,228.55,229.53,229.53,33117400
"Dec 04, 2025",232.77,233.50,226.80,229.11,229.11,45683200
"Dec 03, 2025",233.35,233.38,230.61,232.38,232.38,35495100
"Dec 02, 2025",235.01,238.97,233.55,234.42,234.42,45785400
"Dec 01, 2025",233.22,235.80,232.25,233.88,233.88,42904000
"Nov 28, 2025",231.24,233.29,230.22,233.22,233.22,20292300
"Nov 26, 2025",230.74,231.75,228.77,229.16,229.16,38497900
"Nov 25, 2025",226.38,230.52,223.80,229.67,229.67,39379300
"Nov 24, 2025",222.56,227.33,222.27,226.28,226.28,54318400
"Nov 21, 2025",216.35,222.21,215.18,220.69,220.69,68490500
"Nov 20, 2025",227.05,227.41,216.74,217.14,217.14,50309000
"Nov 19, 2025",223.74,223.74,218.52,222.69,222.69,58335600
"Nov 18, 2025",228.10,230.20,222.42,222.55,222.55,60608400
"Nov 17, 2025",233.25,234.60,229.19,232.87,232.87,59919000
"Nov 14, 2025",235.06,238.73,232.89,234.69,234.69,38956700
"Nov 13, 2025",243.05,243.75,236.50,237.58,237.58,41401700
"Nov 12, 2025",250.24,250.37,243.75,244.20,244.20,31190100
"Nov 11, 2025",248.41,249.75,247.23,249.10,249.10,23564100
"Nov 10, 2025",248.34,251.75,245.59,248.40,248.40,36476500
"Nov 07, 2025",242.90,244.90,238.49,244.41,244.41,46374300
"Nov 06, 2025",249.16,250.38,242.17,243.04,243.04,46004200
"Nov 05, 2025",249.03,251.00,246.16,250.20,250.20,40610700
"Nov 04, 2025",250.38,257.01,248.66,249.32,249.32,51546300
"Nov 03, 2025",255.36,258.60,252.90,254.00,254.00,95997800
"Oct 31, 2025",250.10,250.50,243.98,244.22,244.22,166340800
"Oct 30, 2025",227.06,228.44,222.75,222.86,222.86,102252900
"Oct 29, 2025",231.67,232.82,227.76,230.30,230.30,52036200
"Oct 28, 2025",228.22,231.49,226.21,229.25,229.25,47100000
"Oct 27, 2025",227.66,228.40,225.54,226.97,226.97,38267000
"Oct 24, 2025",221.97,225.40,221.90,224.21,224.21,38685100
"Oct 23, 2025",219.00,221.30,218.18,221.09,221.09,31540000
"Oct 22, 2025",219.30,220.01,216.52,217.95,217.95,44308500
"Oct 21, 2025",218.43,223.32,217.99,222.03,222.03,50494600
"Oct 20, 2025",213.88,216.69,213.59,216.48,216.48,38882800
"Oct 17, 2025",214.56,214.80,211.03,213.04,213.04,45986900
"Oct 16, 2025",215.67,218.59,212.81,214.47,214.47,42414600
"Oct 15, 2025",216.62,217.71,212.66,215.57,215.57,45909500
"Oct 14, 2025",215.56,219.32,212.60,216.39,216.39,45665600
"Oct 13, 2025",217.70,220.68,217.04,220.07,220.07,37809700
"Oct 10, 2025",226.21,228.25,216.00,216.37,216.37,72367500
"Oct 09, 2025",225.00,228.21,221.75,227.74,227.74,46412100
"Oct 08, 2025",222.92,226.73,221.19,225.22,225.22,46686000
"Oct 07, 2025",220.88,222.89,220.17,221.78,221.78,31194700
"Oct 06, 2025",221.00,221.73,216.03,220.90,220.90,43690900
"Oct 03, 2025",223.44,224.20,219.34,219.51,219.51,43639000
"Oct 02, 2025",221.01,222.81,218.95,222.41,222.41,41258600
"Oct 01, 2025",217.36,222.15,216.61,220.63,220.63,43933800
"Sep 30, 2025",222.03,222.24,217.89,219.57,219.57,48396400
"Sep 29, 2025",220.08,222.60,219.30,222.17,222.17,44259200
"Sep 26, 2025",219.08,221.05,218.02,219.78,219.78,41650100
"Sep 25, 2025",220.06,220.67,216.47,218.15,218.15,52226300
"Sep 24, 2025",224.15,224.56,219.45,220.21,220.21,49509000
"Sep 23, 2025",227.83,227.86,220.07,220.71,220.71,70956200
"Sep 22, 2025",230.56,230.57,227.51,227.63,227.63,45914500
"Sep 19, 2025",232.37,234.16,229.70,231.48,231.48,97943200
"Sep 18, 2025",232.50,233.48,228.79,231.23,231.23,37931700
"Sep 17, 2025",233.77,234.30,228.71,231.62,231.62,42815200
"Sep 16, 2025",232.94,235.90,232.23,234.05,234.05,38203900
"Sep 15, 2025",230.63,233.73,230.32,231.43,231.43,33243300
"Sep 12, 2025",230.35,230.79,226.29,228.15,228.15,38496200
"Sep 11, 2025",231.49,231.53,229.34,229.95,229.95,37485600
"Sep 10, 2025",237.52,237.68,229.10,230.33,230.33,60907700
"Sep 09, 2025",236.36,238.85,235.08,238.24,238.24,27033800
"Sep 08, 2025",234.94,237.60,233.75,235.84,235.84,33947100
"Sep 05, 2025",235.19,236.00,231.93,232.33,232.33,36721800
"Sep 04, 2025",231.19,235.77,230.78,235.68,235.68,59391800
"Sep 03, 2025",225.21,227.17,224.36,225.99,225.99,29223100
"Sep 02, 2025",223.52,226.17,221.83,225.34,225.34,38843900
"Aug 29, 2025",231.32,231.81,228.16,229.00,229.00,26199200
"Aug 28, 2025",229.01,232.71,228.02,231.60,231.60,33679600
"Aug 27, 2025",228.57,229.87,227.81,229.12,229.12,21254500
"Aug 26, 2025",227.11,229.00,226.02,228.71,228.71,26105400
"Aug 25, 2025",227.35,229.60,227.31,227.94,227.94,22633700
"Aug 22, 2025",222.79,229.14,220.82,228.84,228.84,37315300
"Aug 21, 2025",222.65,222.78,220.50,221.95,221.95,32140500
"Aug 20, 2025",227.12,227.27,220.92,223.81,223.81,36604300
"Aug 19, 2025",230.09,230.53,227.12,228.01,228.01,29891000
"Aug 18, 2025",230.23,231.91,228.33,231.49,231.49,25248900
"Aug 15, 2025",232.58,234.08,229.81,231.03,231.03,39649200
