"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",373.27,374.37,369.87,369.95,367.97,1469300
"Dec 30, 2025",375.03,375.43,372.95,373.39,371.39,1319500
"Dec 29, 2025",381.00,381.39,374.97,375.32,373.31,1736800
"Dec 26, 2025",382.33,382.67,380.27,381.05,379.01,1114900
"Dec 24, 2025",382.19,384.73,380.74,383.11,381.06,817100
"Dec 23, 2025",380.75,384.55,380.10,382.19,380.14,1768200
"Dec 22, 2025",378.33,382.42,377.08,380.85,378.81,2747400
"Dec 19, 2025",375.54,377.55,372.77,376.51,374.49,7934300
"Dec 18, 2025",380.00,380.54,373.85,375.52,373.51,2884400
"Dec 17, 2025",381.55,384.34,374.55,375.61,373.60,2973900
"Dec 16, 2025",384.00,384.78,378.82,380.75,378.71,2584400
"Dec 15, 2025",384.40,385.75,379.87,382.57,380.52,2734700
"Dec 12, 2025",386.49,387.49,378.60,382.56,380.51,2477800
"Dec 11, 2025",376.50,385.92,375.60,384.89,382.83,2975800
"Dec 10, 2025",363.00,377.98,363.00,375.57,373.56,2804400
"Dec 09, 2025",363.03,368.07,362.50,363.91,361.96,2197600
"Dec 08, 2025",369.91,370.00,360.70,362.28,360.34,2581400
"Dec 05, 2025",369.45,374.88,369.06,370.35,368.36,1978700
"Dec 04, 2025",368.99,373.06,368.13,371.15,369.16,2027200
"Dec 03, 2025",361.02,370.20,360.80,368.13,366.16,2651800
"Dec 02, 2025",362.08,363.66,357.35,360.70,358.77,2135400
"Dec 01, 2025",363.86,366.53,360.14,360.31,358.38,2229100
"Nov 28, 2025",365.69,367.53,364.01,365.27,363.31,872300
"Nov 26, 2025",362.71,366.73,362.71,363.97,362.02,1679900
"Nov 25, 2025",357.05,363.79,355.31,362.64,360.70,2059400
"Nov 24, 2025",353.62,356.39,350.18,355.93,354.02,3330900
"Nov 21, 2025",345.60,356.31,344.30,352.89,351.00,3044100
"Nov 20, 2025",349.97,353.13,340.32,343.80,341.96,3095700
"Nov 19, 2025",341.71,345.32,340.74,344.64,342.79,2005000
"Nov 18, 2025",336.85,343.73,334.10,340.66,338.83,4216800
"Nov 17, 2025",356.22,358.23,339.40,341.25,339.42,3599000
"Nov 14, 2025",361.80,362.20,355.40,357.18,355.27,2943500
"Nov 13, 2025",371.09,373.89,363.34,364.73,362.77,2273500
"Nov 12, 2025",371.11,377.23,370.51,372.77,370.77,2961500
"Nov 11, 2025",367.89,373.08,366.26,370.16,368.18,2132900
"Nov 10, 2025",369.48,371.80,362.76,367.88,365.91,2876800
"Nov 07, 2025",364.14,370.00,361.00,368.54,366.56,2752200
"Nov 06, 2025",366.04,369.26,362.41,365.73,363.77,2354600
"Nov 05, 2025",359.69,367.82,356.41,365.80,363.84,2195800
"Nov 04, 2025",359.32,362.54,356.85,360.49,358.56,1887800
"Nov 03, 2025",361.00,363.54,358.85,361.62,359.68,1822900
"Oct 31, 2025",357.00,361.99,356.00,360.73,358.80,2155600
"Oct 30, 2025",358.59,365.75,357.96,358.88,356.96,2045100
"Oct 29, 2025",359.00,362.00,355.88,358.22,356.30,1840500
"Oct 28, 2025",361.22,362.53,359.44,361.03,359.09,1416800
"Oct 27, 2025",362.00,362.84,358.91,361.67,359.73,2179900
"Oct 24, 2025",358.40,362.32,356.87,357.56,355.64,2397500
"Oct 23, 2025",352.72,356.18,350.55,354.93,353.03,1892600
"Oct 22, 2025",355.28,357.73,349.18,352.00,350.11,2710000
"Oct 21, 2025",352.09,356.67,350.79,355.22,353.32,2658400
"Oct 20, 2025",347.39,350.22,342.65,349.48,347.61,3465400
"Oct 17, 2025",332.38,348.70,331.00,346.62,344.76,7025200
"Oct 16, 2025",331.02,332.50,320.00,323.12,321.39,3268000
"Oct 15, 2025",333.86,336.92,330.28,330.66,328.89,2186000
"Oct 14, 2025",321.61,336.33,320.50,332.85,331.07,2810400
"Oct 13, 2025",319.17,324.36,319.06,323.12,321.39,1693100
"Oct 10, 2025",325.20,328.10,315.95,316.26,314.56,2684700
"Oct 09, 2025",326.48,328.31,324.05,324.44,321.89,2094800
"Oct 08, 2025",328.67,329.15,323.58,323.82,321.27,2184300
"Oct 07, 2025",332.65,334.94,325.74,327.97,325.39,1708900
"Oct 06, 2025",332.00,334.00,326.25,331.99,329.38,2116200
"Oct 03, 2025",332.00,332.04,328.72,330.24,327.64,2404000
"Oct 02, 2025",328.45,331.98,326.28,330.48,327.88,1907600
"Oct 01, 2025",331.00,335.77,328.40,328.56,325.97,2598800
"Sep 30, 2025",341.60,342.96,328.15,332.16,329.54,3327300
"Sep 29, 2025",343.76,344.85,338.50,342.31,339.61,1658100
"Sep 26, 2025",341.45,343.33,339.02,341.68,338.99,1728600
"Sep 25, 2025",336.91,340.77,334.00,340.18,337.50,2223900
"Sep 24, 2025",342.97,345.00,338.51,340.48,337.80,2279100
"Sep 23, 2025",341.94,349.19,340.01,341.47,338.78,2697600
"Sep 22, 2025",339.51,345.51,338.38,340.98,338.29,3328000
"Sep 19, 2025",342.53,344.36,339.72,341.12,338.43,8632000
"Sep 18, 2025",338.50,342.47,335.00,341.67,338.98,3204000
"Sep 17, 2025",328.90,337.50,328.40,336.00,333.35,3586500
"Sep 16, 2025",327.80,327.99,323.70,327.04,324.46,1987600
"Sep 15, 2025",326.05,330.27,326.00,327.26,324.68,1646300
"Sep 12, 2025",329.60,329.60,324.05,325.31,322.75,2000300
"Sep 11, 2025",323.50,330.69,322.42,329.32,326.73,2825900
"Sep 10, 2025",322.99,324.65,321.24,323.35,320.80,1846600
"Sep 09, 2025",322.79,326.59,320.80,324.34,321.79,2056000
"Sep 08, 2025",326.51,327.45,324.00,325.41,322.85,2264400
"Sep 05, 2025",330.69,332.46,325.23,326.22,323.65,2971800
"Sep 04, 2025",325.00,331.04,322.82,330.65,328.05,2485100
"Sep 03, 2025",330.75,332.07,321.41,323.71,321.16,3439000
"Sep 02, 2025",326.66,331.38,322.71,331.18,328.57,3225100
"Aug 29, 2025",327.28,332.06,326.81,331.28,328.67,2981300
"Aug 28, 2025",323.99,327.54,322.00,326.99,324.41,2194800
"Aug 27, 2025",319.92,323.52,319.51,322.46,319.92,1970100
"Aug 26, 2025",315.02,320.79,314.12,320.60,318.08,1848600
"Aug 25, 2025",319.06,319.95,315.41,315.80,313.31,1599600
"Aug 22, 2025",310.22,321.71,310.15,319.16,316.65,2785200
"Aug 21, 2025",306.79,308.52,304.02,308.17,305.74,1848500
"Aug 20, 2025",305.73,309.02,303.87,308.40,305.97,2481700
"Aug 19, 2025",306.66,308.57,304.57,306.10,303.69,2215800
"Aug 18, 2025",304.27,307.24,302.79,307.05,304.63,2115100
"Aug 15, 2025",309.46,309.81,304.24,305.47,303.06,2728000
"Aug 14, 2025",305.54,307.95,302.51,307.73,305.31,2108300
"Aug 13, 2025",304.69,307.60,302.43,306.87,304.45,2586800
"Aug 12, 2025",298.90,305.07,298.48,303.21,300.82,2170500
"Aug 11, 2025",297.12,297.44,294.89,296.23,293.90,2316700
"Aug 08, 2025",297.00,298.13,294.54,297.43,295.09,1778100
"Aug 07, 2025",297.70,298.29,290.63,294.73,292.41,2842500
"Aug 06, 2025",297.21,298.05,294.44,295.54,293.21,3430500
"Aug 05, 2025",299.85,300.35,295.23,296.64,294.30,2181000
"Aug 04, 2025",295.54,299.10,295.53,298.59,296.24,1876000
"Aug 01, 2025",294.03,294.91,288.34,294.27,291.95,3012900
"Jul 31, 2025",301.90,303.91,298.07,299.31,296.95,2718200
"Jul 30, 2025",308.55,308.75,301.37,303.41,301.02,3132400
"Jul 29, 2025",312.91,313.62,307.85,308.54,306.11,1796400
"Jul 28, 2025",311.60,313.50,309.29,310.74,308.29,1653800
"Jul 25, 2025",309.42,312.65,307.51,311.61,309.16,2149300
"Jul 24, 2025",308.30,310.50,307.00,308.25,305.82,2288100
"Jul 23, 2025",308.00,309.59,305.24,308.66,306.23,2139100
"Jul 22, 2025",302.98,306.16,301.73,304.14,301.74,2296100
"Jul 21, 2025",307.96,309.17,302.97,302.97,300.58,2667200
"Jul 18, 2025",311.86,311.86,302.51,307.95,305.52,5481100
"Jul 17, 2025",310.92,316.98,310.58,315.35,312.87,3223300
"Jul 16, 2025",312.44,312.49,306.61,311.90,309.44,2921900
"Jul 15, 2025",318.61,319.45,310.43,310.65,308.20,3006500
"Jul 14, 2025",319.29,321.77,317.68,320.92,318.39,1890900
"Jul 11, 2025",322.98,324.35,319.20,319.47,316.95,2091200
"Jul 10, 2025",317.85,326.10,317.50,325.24,322.68,2844400
"Jul 09, 2025",318.66,320.93,317.31,317.35,314.85,2424200
"Jul 08, 2025",324.47,324.47,316.95,316.98,314.48,2643900
"Jul 07, 2025",327.52,328.41,320.26,322.73,320.19,2160300
"Jul 03, 2025",325.33,329.14,324.18,328.13,325.55,1541800
"Jul 02, 2025",322.99,326.62,321.34,325.61,322.23,3040200
"Jul 01, 2025",316.93,324.38,316.30,322.53,319.18,3836200
