"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",218.93,219.32,216.14,217.12,217.12,5563000
"Dec 30, 2025",219.14,221.88,218.40,218.50,218.50,5653500
"Dec 29, 2025",215.90,218.14,215.11,217.25,217.25,5292000
"Dec 26, 2025",218.05,218.67,216.14,216.44,216.44,2801500
"Dec 24, 2025",217.00,219.27,216.19,218.16,218.16,2943500
"Dec 23, 2025",216.90,217.56,215.32,216.85,216.85,4496300
"Dec 22, 2025",215.34,217.15,214.22,216.84,216.84,5458900
"Dec 19, 2025",209.76,215.98,209.27,214.08,214.08,14793700
"Dec 18, 2025",207.99,210.55,207.66,208.27,208.27,5652100
"Dec 17, 2025",206.78,210.66,205.82,206.33,206.33,7301100
"Dec 16, 2025",205.00,208.65,204.39,206.71,206.71,6120200
"Dec 15, 2025",204.38,206.63,203.17,205.50,205.50,6721600
"Dec 12, 2025",202.20,206.12,201.58,204.38,204.38,7069700
"Dec 11, 2025",198.73,201.86,198.05,200.71,200.71,7917800
"Dec 10, 2025",200.37,201.35,198.35,198.72,198.72,15159600
"Dec 09, 2025",205.35,207.10,200.02,200.37,200.37,9101900
"Dec 08, 2025",203.61,206.86,202.56,206.27,206.27,8823900
"Dec 05, 2025",201.40,202.95,200.56,201.89,201.89,6857200
"Dec 04, 2025",202.85,202.89,198.53,201.87,201.87,9513300
"Dec 03, 2025",204.60,205.85,197.40,202.54,202.54,14139900
"Dec 02, 2025",198.30,205.78,195.51,205.38,205.38,22624000
"Dec 01, 2025",188.96,189.95,186.41,186.46,186.46,6763700
"Nov 28, 2025",187.87,189.75,186.91,189.00,189.00,3757000
"Nov 26, 2025",184.00,188.18,183.03,186.92,186.92,7644500
"Nov 25, 2025",179.49,183.48,177.52,182.44,182.44,9676200
"Nov 24, 2025",180.31,180.31,177.30,179.12,179.12,9386000
"Nov 21, 2025",180.56,181.43,176.77,179.70,179.70,10134000
"Nov 20, 2025",187.74,188.10,178.42,179.38,179.38,13706400
"Nov 19, 2025",189.21,189.21,183.01,185.70,185.70,12550400
"Nov 18, 2025",190.00,191.16,187.85,189.63,189.63,8195800
"Nov 17, 2025",194.84,194.84,190.23,191.81,191.81,5877800
"Nov 14, 2025",192.88,197.03,192.15,194.52,194.52,6189800
"Nov 13, 2025",195.63,196.20,193.11,194.58,194.58,6739300
"Nov 12, 2025",195.75,196.66,193.80,195.50,195.50,8288300
"Nov 11, 2025",194.74,196.40,194.35,195.21,195.21,5783400
"Nov 10, 2025",195.89,196.44,193.19,194.81,194.81,7447400
"Nov 07, 2025",195.50,195.85,191.49,194.61,194.61,7869500
"Nov 06, 2025",198.10,201.27,195.45,196.50,196.50,7740500
"Nov 05, 2025",197.75,198.51,195.31,197.62,197.62,9885700
"Nov 04, 2025",201.80,202.22,197.57,198.05,198.05,8619600
"Nov 03, 2025",202.04,205.66,201.58,204.55,204.55,8103900
"Oct 31, 2025",201.25,202.60,198.30,201.02,201.02,10696600
"Oct 30, 2025",210.01,210.28,200.02,200.08,200.08,19417000
"Oct 29, 2025",221.36,221.90,212.50,213.58,213.58,20940100
"Oct 28, 2025",224.36,225.56,222.60,223.33,223.33,7027200
"Oct 27, 2025",222.78,223.58,221.82,223.00,223.00,6084300
"Oct 24, 2025",219.04,221.74,218.51,221.35,221.35,5238100
