"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",577.30,578.94,572.05,572.87,570.45,1163900
"Dec 30, 2025",580.01,580.98,575.51,577.39,574.95,1216700
"Dec 29, 2025",580.09,583.97,574.64,578.61,576.16,2585700
"Dec 26, 2025",583.21,583.83,578.65,583.00,580.53,954400
"Dec 24, 2025",582.66,587.13,581.00,583.76,581.29,947000
"Dec 23, 2025",580.50,588.71,580.50,582.42,579.96,1731000
"Dec 22, 2025",584.49,585.79,575.69,582.41,579.95,2387700
"Dec 19, 2025",572.69,581.73,570.33,576.22,573.78,5355600
"Dec 18, 2025",568.50,574.66,561.91,565.83,563.44,2193000
"Dec 17, 2025",587.59,591.00,557.46,561.89,559.51,3753300
"Dec 16, 2025",590.70,598.66,586.28,588.93,586.44,2319400
"Dec 15, 2025",602.53,604.15,587.89,589.76,587.27,3968600
"Dec 12, 2025",626.00,627.50,595.78,597.89,595.36,4581100
"Dec 11, 2025",610.45,626.81,604.26,625.61,622.96,2779500
"Dec 10, 2025",600.13,617.23,598.69,615.35,612.75,2797900
"Dec 09, 2025",593.05,599.99,592.23,594.36,591.85,1755300
"Dec 08, 2025",604.66,604.85,591.93,596.50,593.98,1822500
"Dec 05, 2025",604.00,607.00,597.74,603.17,600.62,2177300
"Dec 04, 2025",590.18,602.72,587.00,599.15,596.62,2313600
"Dec 03, 2025",581.40,593.24,562.21,591.49,588.99,2545700
"Dec 02, 2025",571.33,585.56,569.06,582.47,580.01,2749500
"Dec 01, 2025",570.41,575.59,567.00,568.06,565.66,1764500
"Nov 28, 2025",573.79,577.36,572.40,575.76,573.32,1019500
"Nov 26, 2025",566.61,574.88,566.02,573.73,571.30,1995100
"Nov 25, 2025",564.59,567.14,547.55,566.61,564.21,3105100
"Nov 24, 2025",552.13,565.74,550.67,559.60,557.23,4653500
"Nov 21, 2025",545.82,554.99,537.08,550.43,548.10,2921600
"Nov 20, 2025",565.95,568.87,541.00,546.13,543.82,3195000
"Nov 19, 2025",550.00,560.91,547.64,553.11,550.77,1880900
"Nov 18, 2025",543.35,551.57,538.05,546.88,544.57,1918600
"Nov 17, 2025",552.59,561.59,547.57,552.05,549.71,1941100
"Nov 14, 2025",548.96,558.31,541.00,554.03,551.69,2764500
"Nov 13, 2025",572.77,576.82,544.63,553.55,551.21,3458700
"Nov 12, 2025",570.50,581.27,570.50,573.02,570.60,2645100
"Nov 11, 2025",568.72,570.45,560.26,567.93,565.53,1517400
"Nov 10, 2025",570.00,574.18,561.51,570.85,568.44,1829900
"Nov 07, 2025",563.55,565.58,550.33,563.10,560.72,2320100
"Nov 06, 2025",573.20,583.99,564.23,569.78,567.37,2245800
"Nov 05, 2025",551.94,574.01,550.36,569.15,566.74,2701300
"Nov 04, 2025",565.00,566.50,545.20,547.58,545.26,3440700
"Nov 03, 2025",575.93,576.22,565.39,570.59,568.18,2439400
"Oct 31, 2025",584.03,587.05,571.35,577.26,574.82,2974800
"Oct 30, 2025",577.89,593.77,575.77,583.15,580.68,2574800
"Oct 29, 2025",558.18,596.21,558.00,585.49,583.01,6948500
"Oct 28, 2025",525.96,530.29,521.67,524.47,522.25,2775400
"Oct 27, 2025",527.05,529.47,521.43,527.07,524.84,2493800
"Oct 24, 2025",522.86,527.23,521.02,522.73,520.52,2392000
"Oct 23, 2025",518.33,522.89,513.01,520.50,518.30,2619400
"Oct 22, 2025",525.73,525.80,510.21,513.91,511.74,4149000
"Oct 21, 2025",525.07,533.38,522.04,524.65,522.43,2259100
"Oct 20, 2025",529.56,534.20,526.94,531.18,528.93,2170800
"Oct 17, 2025",537.38,542.21,526.97,527.08,523.35,2814700
"Oct 16, 2025",538.06,544.99,534.70,540.96,537.13,3463100
"Oct 15, 2025",534.20,538.45,527.21,534.05,530.27,3447100
"Oct 14, 2025",500.58,531.56,499.01,527.47,523.73,5459800
