"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",265.29,266.10,264.39,264.91,264.25,3367900
"Dec 30, 2025",266.66,268.28,265.33,265.92,265.26,3291800
"Dec 29, 2025",264.71,269.11,264.71,266.23,265.57,4300100
"Dec 26, 2025",264.80,267.91,264.80,266.08,265.42,2456400
"Dec 24, 2025",263.23,266.30,262.55,265.26,264.60,2076600
"Dec 23, 2025",262.72,264.24,260.52,263.43,262.77,4745100
"Dec 22, 2025",260.62,264.63,258.41,264.63,263.97,5664200
"Dec 19, 2025",260.68,262.04,255.50,259.91,259.26,20732100
"Dec 18, 2025",258.42,260.07,256.16,257.85,257.21,5654200
"Dec 17, 2025",256.33,261.97,256.25,258.14,257.08,6269000
"Dec 16, 2025",254.00,255.86,252.11,254.91,253.86,6145300
"Dec 15, 2025",261.21,262.28,253.09,254.58,253.54,10271800
"Dec 12, 2025",263.52,264.49,260.91,262.23,261.15,6006600
"Dec 11, 2025",263.50,267.90,260.77,262.35,261.27,7783800
"Dec 10, 2025",260.75,265.93,259.15,264.20,263.12,8894700
"Dec 09, 2025",260.00,262.25,259.00,261.02,259.95,8045900
"Dec 08, 2025",261.88,264.28,256.34,259.53,258.47,10805400
"Dec 05, 2025",250.83,261.88,249.50,260.57,259.50,15852400
"Dec 04, 2025",243.69,248.97,237.60,247.46,246.44,20912100
"Dec 03, 2025",235.36,239.26,233.16,238.72,237.74,13782000
"Dec 02, 2025",233.02,236.65,231.62,234.71,233.75,7626200
"Dec 01, 2025",228.67,234.25,228.60,232.83,231.87,5634700
"Nov 28, 2025",229.00,232.56,228.63,230.54,229.59,3691500
"Nov 26, 2025",230.51,232.82,226.00,228.15,227.21,8506600
"Nov 25, 2025",226.80,234.63,226.52,234.12,233.16,10233000
"Nov 24, 2025",227.34,228.84,225.04,226.82,225.89,8563300
"Nov 21, 2025",224.86,228.68,221.96,227.11,226.18,7479300
"Nov 20, 2025",229.25,231.07,223.30,225.37,224.45,7521100
"Nov 19, 2025",232.00,232.28,225.06,227.88,226.95,9710700
"Nov 18, 2025",236.24,237.79,230.27,233.50,232.54,8045100
"Nov 17, 2025",242.07,242.83,235.59,237.03,236.06,5280900
"Nov 14, 2025",238.31,245.18,237.42,243.66,242.66,5512900
"Nov 13, 2025",245.25,245.90,239.91,240.43,239.44,5542100
"Nov 12, 2025",245.74,248.43,243.68,246.02,245.01,4278200
"Nov 11, 2025",241.90,245.70,241.16,244.50,243.50,5762800
"Nov 10, 2025",240.00,241.91,235.08,241.71,240.72,6486600
"Nov 07, 2025",236.15,240.97,235.79,239.88,238.90,5741500
"Nov 06, 2025",250.54,250.54,234.48,239.27,238.29,11041800
"Nov 05, 2025",254.70,256.83,252.01,252.68,251.64,5241200
