"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",77.34,77.82,76.88,77.03,76.21,13570500
"Dec 30, 2025",77.81,77.81,77.17,77.41,76.58,13952200
"Dec 29, 2025",78.03,78.30,77.52,77.79,76.96,17941800
"Dec 26, 2025",78.10,78.28,77.93,78.16,77.32,10158000
"Dec 24, 2025",78.02,78.29,77.85,78.02,77.19,9104400
"Dec 23, 2025",77.61,78.12,77.59,78.02,77.19,16712600
"Dec 22, 2025",79.02,79.15,77.96,78.11,77.28,18016100
"Dec 19, 2025",76.97,79.17,76.79,78.42,77.58,84881900
"Dec 18, 2025",76.33,77.81,76.26,76.95,76.13,19249400
"Dec 17, 2025",77.90,78.20,75.92,76.00,75.19,26094400
"Dec 16, 2025",78.11,78.61,77.38,77.55,76.72,17737200
"Dec 15, 2025",78.21,78.71,77.54,78.25,77.41,17646000
"Dec 12, 2025",79.46,79.56,77.72,77.80,76.97,16672300
"Dec 11, 2025",80.24,80.37,78.83,79.27,78.42,18652300
"Dec 10, 2025",78.83,80.82,78.80,80.25,79.39,21302700
"Dec 09, 2025",78.79,79.88,78.51,79.51,78.66,15737500
"Dec 08, 2025",78.21,79.38,78.12,78.86,78.02,17454500
"Dec 05, 2025",77.97,78.19,77.40,77.97,77.14,12579400
"Dec 04, 2025",77.69,77.86,77.17,77.76,76.93,12572600
"Dec 03, 2025",76.59,77.82,75.65,77.75,76.92,16088400
"Dec 02, 2025",76.16,77.00,75.76,76.87,76.05,14619100
"Dec 01, 2025",76.67,76.82,75.93,76.04,75.23,15529600
"Nov 28, 2025",76.14,76.96,75.81,76.94,76.12,7320900
"Nov 26, 2025",76.46,76.60,75.34,76.07,75.26,15972600
"Nov 25, 2025",76.49,77.06,76.08,76.32,75.50,18818800
"Nov 24, 2025",76.49,76.88,75.68,76.24,75.43,26691500
"Nov 21, 2025",75.64,76.94,75.47,76.10,75.29,24428800
"Nov 20, 2025",79.12,80.06,75.32,75.44,74.63,27381900
"Nov 19, 2025",77.30,78.93,77.16,78.39,77.55,24759700
"Nov 18, 2025",77.55,78.20,76.45,77.37,76.54,26025500
"Nov 17, 2025",77.89,79.39,77.47,77.78,76.95,28720100
"Nov 14, 2025",76.58,78.67,75.84,78.00,77.17,38819600
"Nov 13, 2025",77.95,79.50,76.65,77.38,76.55,57638500
"Nov 12, 2025",71.91,74.21,71.72,73.96,73.17,57591600
"Nov 11, 2025",71.74,72.25,71.10,71.71,70.94,21412900
"Nov 10, 2025",71.76,72.50,71.15,72.09,71.32,22201200
"Nov 07, 2025",71.39,71.59,70.54,71.07,70.31,16913700
"Nov 06, 2025",71.71,72.23,70.69,71.04,70.28,16469900
"Nov 05, 2025",72.22,72.58,71.34,72.10,71.33,16113500
"Nov 04, 2025",73.90,73.99,71.98,72.32,71.55,22345000
"Nov 03, 2025",74.61,74.84,73.62,74.45,73.65,21733400
"Oct 31, 2025",72.72,73.48,72.43,73.11,72.33,24008000
"Oct 30, 2025",71.37,73.11,71.34,72.91,72.13,18101800
"Oct 29, 2025",72.68,72.82,70.92,71.33,70.57,18020600
"Oct 28, 2025",71.20,72.68,71.03,72.62,71.84,19896800
"Oct 27, 2025",70.54,71.46,70.43,71.39,70.63,15986800
"Oct 24, 2025",70.64,70.94,70.06,70.63,69.88,13075600
"Oct 23, 2025",70.60,71.24,70.23,70.27,69.52,14614100
"Oct 22, 2025",70.86,70.97,69.85,70.66,69.91,14967200
"Oct 21, 2025",70.58,71.24,70.38,70.72,69.96,15763300
"Oct 20, 2025",70.12,70.97,70.12,70.65,69.90,12183500
"Oct 17, 2025",69.06,70.77,68.95,70.13,69.38,16286900
"Oct 16, 2025",69.78,70.07,68.57,69.09,68.35,13950600
"Oct 15, 2025",69.31,70.30,68.82,69.52,68.78,16260500
"Oct 14, 2025",67.11,69.16,66.81,68.66,67.93,15402000
"Oct 13, 2025",68.55,68.89,67.13,67.46,66.74,14127900
"Oct 10, 2025",70.41,70.81,67.89,67.94,67.21,20961500
"Oct 09, 2025",70.31,70.62,69.03,69.96,69.21,21209500
"Oct 08, 2025",69.81,70.76,69.00,70.33,69.58,34246300
"Oct 07, 2025",68.92,69.22,68.44,68.99,68.25,16493200
"Oct 06, 2025",68.44,68.95,67.81,68.91,68.17,21952700
"Oct 03, 2025",67.95,68.58,67.65,67.92,67.19,11113200
"Oct 02, 2025",69.18,69.49,68.26,68.31,67.17,15708300
"Oct 01, 2025",67.90,68.82,67.69,68.75,67.61,15530700
"Sep 30, 2025",67.71,68.77,67.69,68.42,67.28,20498900
"Sep 29, 2025",67.72,67.95,67.44,67.72,66.59,14358300
"Sep 26, 2025",67.87,67.91,66.85,67.22,66.10,15077400
"Sep 25, 2025",67.32,68.24,67.11,67.85,66.72,22351700
"Sep 24, 2025",67.70,67.86,66.89,67.32,66.20,17433100
"Sep 23, 2025",67.58,68.22,67.07,67.54,66.42,22240000
"Sep 22, 2025",67.86,68.00,67.30,67.75,66.62,20396700
"Sep 19, 2025",68.92,68.92,67.18,68.21,67.08,47822500
"Sep 18, 2025",67.90,68.76,67.48,68.68,67.54,20279000
"Sep 17, 2025",67.00,67.88,66.38,67.72,66.59,18652100
"Sep 16, 2025",67.02,67.38,66.55,66.93,65.82,18019300
"Sep 15, 2025",66.51,67.20,66.35,67.02,65.91,16203100
"Sep 12, 2025",66.88,67.34,66.13,66.53,65.42,18529200
"Sep 11, 2025",68.31,68.57,67.51,67.69,66.56,17560800
"Sep 10, 2025",67.59,68.32,67.12,68.13,67.00,14689500
"Sep 09, 2025",66.74,67.44,66.64,67.34,66.22,11649400
"Sep 08, 2025",66.72,67.01,66.35,66.88,65.77,14038000
"Sep 05, 2025",67.72,68.10,66.48,66.90,65.79,21050800
"Sep 04, 2025",68.10,68.41,67.41,67.99,66.86,14388500
"Sep 03, 2025",68.05,68.13,67.33,67.67,66.55,14320100
"Sep 02, 2025",68.11,68.32,67.38,67.80,66.67,18928800
"Aug 29, 2025",69.11,69.46,68.83,69.09,67.94,14953000
"Aug 28, 2025",68.36,69.58,68.35,69.43,68.28,15256000
"Aug 27, 2025",68.32,68.75,68.15,68.44,67.30,13876700
"Aug 26, 2025",67.17,68.75,67.11,68.39,67.25,28307900
"Aug 25, 2025",67.28,67.50,67.11,67.14,66.02,11724500
"Aug 22, 2025",67.33,68.04,67.01,67.32,66.20,16830600
"Aug 21, 2025",67.10,67.22,66.47,67.02,65.91,12456600
"Aug 20, 2025",66.82,67.19,66.54,67.11,65.99,14946400
"Aug 19, 2025",66.76,67.52,66.48,66.76,65.65,18746600
"Aug 18, 2025",66.08,67.11,65.75,66.95,65.84,20903400
"Aug 15, 2025",68.45,68.65,65.86,66.20,65.10,40877300
"Aug 14, 2025",68.00,70.61,67.48,69.30,68.15,39317300
"Aug 13, 2025",71.86,72.03,70.25,70.40,69.23,38096400
"Aug 12, 2025",70.79,71.50,70.56,71.38,70.19,21912100
"Aug 11, 2025",72.30,72.55,70.34,70.67,69.50,28911400
"Aug 08, 2025",70.24,72.02,70.22,71.79,70.60,31662400
"Aug 07, 2025",69.80,70.14,69.21,69.90,68.74,22579600
"Aug 06, 2025",67.96,69.35,67.77,69.21,68.06,23107800
"Aug 05, 2025",68.69,68.87,67.44,67.52,66.40,15434500
"Aug 04, 2025",67.77,68.51,67.61,68.49,67.35,17052200
"Aug 01, 2025",67.51,67.61,66.52,67.11,65.99,21650000
"Jul 31, 2025",68.31,69.15,67.88,68.08,66.95,18529200
"Jul 30, 2025",67.84,68.58,67.35,68.28,67.15,15518200
"Jul 29, 2025",68.23,68.72,67.83,67.96,66.83,15261800
"Jul 28, 2025",67.75,67.96,67.37,67.92,66.79,20558400
"Jul 25, 2025",68.38,68.82,68.07,68.69,67.55,11590000
"Jul 24, 2025",68.36,68.59,67.92,68.29,67.15,13534000
"Jul 23, 2025",68.35,68.83,68.06,68.62,67.48,13042300
"Jul 22, 2025",68.34,68.60,68.08,68.16,67.03,14527200
"Jul 21, 2025",67.90,68.62,67.79,68.34,67.20,14674200
"Jul 18, 2025",68.78,68.84,67.96,68.05,66.92,16145100
"Jul 17, 2025",67.55,68.47,67.51,68.30,67.16,20400000
"Jul 16, 2025",67.15,67.56,66.98,67.37,66.25,15156100
"Jul 15, 2025",67.68,67.88,67.15,67.18,66.06,13944600
"Jul 14, 2025",67.83,68.03,67.20,67.82,66.69,16451400
