"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",152.39,152.55,151.67,152.41,150.93,4953100
"Dec 30, 2025",151.50,152.67,151.47,152.31,150.83,5150500
"Dec 29, 2025",151.00,151.64,150.09,150.99,149.53,5589100
"Dec 26, 2025",150.38,151.14,149.65,150.02,148.57,3706900
"Dec 24, 2025",150.38,150.99,150.10,150.50,149.04,2227600
"Dec 23, 2025",150.04,151.08,149.85,150.51,149.05,4663700
"Dec 22, 2025",148.81,150.49,148.70,149.80,148.35,8143600
"Dec 19, 2025",147.96,149.01,147.19,147.75,146.32,21701400
"Dec 18, 2025",148.85,149.27,147.08,147.69,146.26,6998800
"Dec 17, 2025",147.50,149.87,147.35,149.52,148.07,8805300
"Dec 16, 2025",148.54,148.82,146.49,146.75,145.33,11290500
"Dec 15, 2025",149.84,150.10,148.43,149.80,148.35,7503000
"Dec 12, 2025",151.15,151.55,149.63,149.99,148.54,5848100
"Dec 11, 2025",150.83,151.94,150.10,150.72,149.26,8414200
"Dec 10, 2025",149.18,151.80,148.70,151.41,149.94,10976300
"Dec 09, 2025",149.05,150.10,148.22,148.49,147.05,8916700
"Dec 08, 2025",149.25,150.07,147.66,148.71,147.27,10237200
"Dec 05, 2025",152.00,152.63,149.83,150.00,148.55,12659800
"Dec 04, 2025",151.75,152.94,151.22,152.26,150.78,7254700
"Dec 03, 2025",151.04,152.50,150.98,151.59,150.12,8060200
"Dec 02, 2025",152.02,152.46,149.26,150.25,148.79,9196300
"Dec 01, 2025",151.75,153.95,151.50,152.54,151.06,8209000
"Nov 28, 2025",149.46,151.52,149.26,151.13,149.67,3848600
"Nov 26, 2025",148.26,150.46,148.20,149.51,148.06,7578900
"Nov 25, 2025",148.90,149.90,148.27,148.53,147.09,11447900
"Nov 24, 2025",149.82,150.12,147.74,149.75,148.30,14181100
"Nov 21, 2025",150.44,151.01,148.75,149.98,148.53,9248400
"Nov 20, 2025",152.54,153.04,150.05,150.31,148.85,7623400
"Nov 19, 2025",151.16,151.96,150.25,151.70,150.23,7539900
"Nov 18, 2025",152.50,154.28,151.76,153.62,152.13,10813400
"Nov 17, 2025",157.72,157.89,154.44,154.82,151.63,8745000
"Nov 14, 2025",156.23,157.95,154.81,157.62,154.37,8484800
"Nov 13, 2025",154.00,156.20,153.93,155.58,152.37,7998700
"Nov 12, 2025",155.58,155.79,152.08,153.32,150.16,11670900
"Nov 11, 2025",156.75,157.99,155.90,156.24,153.02,6361400
"Nov 10, 2025",155.42,155.98,152.37,155.65,152.44,8436800
"Nov 07, 2025",153.43,156.17,153.43,155.02,151.82,9835900
"Nov 06, 2025",152.91,154.79,152.68,152.94,149.79,6466300
"Nov 05, 2025",153.53,154.40,152.66,152.66,149.51,5894700
"Nov 04, 2025",153.43,153.76,152.15,153.39,150.23,6976800
"Nov 03, 2025",157.41,157.72,153.57,154.04,150.86,8512200
"Oct 31, 2025",155.73,159.18,155.11,157.72,154.47,11136100
"Oct 30, 2025",155.23,155.23,153.24,153.52,150.35,8971200
"Oct 29, 2025",153.86,156.15,153.86,155.10,151.90,7344400
"Oct 28, 2025",154.90,156.23,153.89,154.13,150.95,5066500
"Oct 27, 2025",155.80,156.50,154.87,155.28,152.08,4884400
"Oct 24, 2025",157.42,157.63,155.43,155.56,152.35,4979900
"Oct 23, 2025",158.20,158.59,156.12,156.56,153.33,9810900
"Oct 22, 2025",154.65,155.98,153.61,155.57,152.36,6036700
"Oct 21, 2025",154.74,155.29,153.21,153.79,150.62,6304900
"Oct 20, 2025",153.43,154.72,153.18,154.48,151.29,5676500
"Oct 17, 2025",152.26,154.19,152.20,153.08,149.92,7735500
"Oct 16, 2025",152.14,152.73,150.23,151.71,148.58,5276800
"Oct 15, 2025",152.90,154.21,151.04,152.11,148.97,5824900
"Oct 14, 2025",149.81,153.46,149.66,152.39,149.25,6419400
"Oct 13, 2025",150.00,151.98,149.43,151.94,148.81,5978800
"Oct 10, 2025",150.70,151.35,148.89,148.90,145.83,7796600
"Oct 09, 2025",154.13,154.97,151.56,151.64,148.51,6178600
"Oct 08, 2025",154.36,154.68,152.84,153.74,150.57,5678000
"Oct 07, 2025",153.65,154.96,151.28,154.91,151.71,5479600
"Oct 06, 2025",153.97,154.65,152.92,154.02,150.84,4778900
"Oct 03, 2025",153.58,154.28,152.23,153.55,150.38,7249300
"Oct 02, 2025",153.96,156.60,153.32,153.37,150.21,7562400
"Oct 01, 2025",154.83,155.09,153.19,154.58,151.39,6768400
"Sep 30, 2025",154.89,155.73,153.93,155.29,152.09,7755700
"Sep 29, 2025",159.13,159.13,155.56,156.10,152.88,8315100
"Sep 26, 2025",160.57,161.30,159.51,160.16,156.86,7015200
"Sep 25, 2025",159.44,161.01,159.35,160.72,157.41,6311000
"Sep 24, 2025",158.32,160.49,158.25,159.18,155.90,6285200
"Sep 23, 2025",157.12,159.83,156.99,157.42,154.17,7181400
"Sep 22, 2025",155.62,157.12,155.15,156.05,152.83,5244000
"Sep 19, 2025",159.00,159.00,155.55,156.21,152.99,16734000
"Sep 18, 2025",160.03,160.29,158.09,158.84,155.56,6244200
"Sep 17, 2025",159.20,160.67,158.61,160.09,156.79,5736800
"Sep 16, 2025",158.25,160.10,158.12,159.54,156.25,8011000
"Sep 15, 2025",157.38,158.32,156.50,157.31,154.07,5030500
"Sep 12, 2025",158.85,159.78,157.10,157.11,153.87,5546300
"Sep 11, 2025",156.50,158.92,156.01,158.25,154.99,6417400
"Sep 10, 2025",155.05,157.92,155.00,157.79,154.54,7440800
"Sep 09, 2025",154.91,156.99,154.60,154.85,151.66,7769200
"Sep 08, 2025",153.91,155.03,152.88,154.00,150.82,9462000
"Sep 05, 2025",156.06,156.72,153.49,153.66,150.49,11011700
"Sep 04, 2025",158.06,159.65,157.50,157.69,154.44,7243000
"Sep 03, 2025",160.00,161.85,157.02,158.06,154.80,9556100
"Sep 02, 2025",160.48,161.86,159.38,161.83,158.49,8947300
"Aug 29, 2025",159.70,161.10,159.45,160.60,157.29,6934800
"Aug 28, 2025",159.01,159.52,157.85,159.32,156.03,6502000
