"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",114.77,114.89,113.55,113.77,113.77,6608000
"Dec 30, 2025",114.10,115.28,114.10,114.79,114.79,6883900
"Dec 29, 2025",113.32,114.49,113.31,114.19,114.19,7966000
"Dec 26, 2025",114.15,114.74,113.27,113.56,113.56,5428900
"Dec 24, 2025",112.94,114.53,112.80,114.48,114.48,4606700
"Dec 23, 2025",112.29,113.31,112.04,113.22,113.22,7634500
"Dec 22, 2025",111.41,112.80,111.15,112.38,112.38,8803300
"Dec 19, 2025",112.32,113.48,110.92,111.24,111.24,21138400
"Dec 18, 2025",110.53,112.80,110.42,111.87,111.87,12913900
"Dec 17, 2025",111.06,112.13,110.46,110.63,110.63,12142500
"Dec 16, 2025",111.22,112.85,110.86,111.62,111.62,15580200
"Dec 15, 2025",110.70,111.55,108.55,110.49,110.49,14318000
"Dec 12, 2025",111.73,113.34,111.15,111.60,110.85,13059100
"Dec 11, 2025",109.20,111.56,109.11,111.46,110.71,13281400
"Dec 10, 2025",107.12,109.67,106.58,108.83,108.10,11237900
"Dec 09, 2025",107.59,107.75,106.55,107.02,106.30,8549400
"Dec 08, 2025",105.30,108.05,104.83,107.63,106.91,13727700
"Dec 05, 2025",105.18,106.17,104.56,105.30,104.59,10680100
"Dec 04, 2025",105.84,106.22,104.51,105.47,104.76,11471400
"Dec 03, 2025",104.90,105.85,104.47,105.74,105.03,10177800
"Dec 02, 2025",106.53,106.57,104.82,104.83,104.13,8548200
"Dec 01, 2025",104.92,106.83,104.47,106.77,106.05,12628900
"Nov 28, 2025",103.30,104.74,103.24,104.47,103.77,6525500
"Nov 26, 2025",103.32,104.25,102.88,103.43,102.73,10130200
"Nov 25, 2025",102.49,103.92,102.00,103.31,102.62,10574500
"Nov 24, 2025",104.09,104.34,101.89,101.94,101.25,15024800
"Nov 21, 2025",103.48,104.78,102.69,104.28,103.58,10785400
"Nov 20, 2025",105.37,105.80,102.50,102.70,102.01,12609900
"Nov 19, 2025",106.08,107.59,104.08,104.67,103.97,12790000
"Nov 18, 2025",105.10,107.08,105.00,106.28,105.57,11796200
"Nov 17, 2025",105.75,107.67,105.12,105.69,104.98,12296400
"Nov 14, 2025",107.52,108.73,105.30,105.80,105.09,16691400
"Nov 13, 2025",108.89,109.36,104.91,107.61,106.89,44045400
"Nov 12, 2025",114.57,117.09,114.39,116.65,115.87,15248700
"Nov 11, 2025",112.65,114.97,112.42,114.85,114.08,9713300
"Nov 10, 2025",111.15,112.79,111.03,112.24,111.49,9158700
"Nov 07, 2025",110.26,111.43,110.04,110.74,110.00,8782100
"Nov 06, 2025",111.17,111.71,109.18,110.49,109.75,10291800
"Nov 05, 2025",111.35,111.97,110.60,111.36,110.61,5746000
"Nov 04, 2025",110.97,111.79,110.64,111.47,110.72,7950100
