"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",884.10,886.00,876.79,879.00,874.40,1221500
"Dec 30, 2025",894.74,895.02,881.18,884.42,879.79,1833300
"Dec 29, 2025",906.45,906.48,891.56,892.18,887.51,1578000
"Dec 26, 2025",911.00,913.32,905.31,907.04,902.29,995300
"Dec 24, 2025",901.16,911.88,898.70,910.78,906.01,771800
"Dec 23, 2025",900.35,905.92,893.70,901.71,896.99,1210200
"Dec 22, 2025",896.52,905.48,894.84,899.00,894.29,1442300
"Dec 19, 2025",883.17,899.75,881.95,893.48,888.80,4808300
"Dec 18, 2025",880.50,892.79,874.70,876.30,871.71,2066300
"Dec 17, 2025",886.33,895.97,868.44,872.33,867.76,2213300
"Dec 16, 2025",890.23,896.24,874.32,879.15,874.55,2161600
"Dec 15, 2025",892.00,904.47,889.59,889.59,884.93,1976600
"Dec 12, 2025",913.75,914.99,886.99,887.96,883.31,2715200
"Dec 11, 2025",889.98,919.10,888.00,911.03,906.26,2683000
"Dec 10, 2025",871.35,897.20,869.27,889.24,884.58,2394300
"Dec 09, 2025",866.00,883.72,864.31,876.58,871.99,2274800
"Dec 08, 2025",861.10,870.56,856.30,866.69,862.15,2238100
"Dec 05, 2025",837.26,856.20,836.52,854.56,850.09,2277500
"Dec 04, 2025",835.54,843.99,834.50,837.83,833.44,1670800
"Dec 03, 2025",812.95,837.91,812.95,836.57,832.19,2347900
"Dec 02, 2025",811.12,819.70,808.30,815.21,810.94,2254200
"Dec 01, 2025",818.59,824.73,809.61,810.86,802.64,2133200
"Nov 28, 2025",820.00,830.57,818.95,826.04,817.66,868300
"Nov 26, 2025",805.84,819.58,805.00,816.01,807.73,1862500
"Nov 25, 2025",797.00,805.26,777.99,802.32,794.18,2252900
"Nov 24, 2025",778.64,793.99,775.36,790.71,782.69,2319500
"Nov 21, 2025",776.83,780.37,754.00,774.03,766.18,2284700
"Nov 20, 2025",795.25,816.00,772.19,773.70,765.85,2599000
"Nov 19, 2025",776.30,787.87,775.00,785.99,778.02,1521100
"Nov 18, 2025",772.06,787.70,766.54,776.30,768.43,1673500
"Nov 17, 2025",790.00,796.73,770.50,775.56,767.69,1850600
"Nov 14, 2025",795.55,800.61,778.00,790.91,782.89,2552000
"Nov 13, 2025",833.06,841.28,805.02,805.50,797.33,2557400
"Nov 12, 2025",814.13,840.00,814.13,838.97,830.46,2954100
"Nov 11, 2025",798.48,812.00,795.61,810.31,802.09,1521500
"Nov 10, 2025",796.08,806.36,788.80,797.20,789.11,1698200
"Nov 07, 2025",783.00,787.06,762.80,786.34,778.36,2098400
"Nov 06, 2025",794.00,798.20,777.00,787.58,779.59,1572500
"Nov 05, 2025",790.44,797.36,775.58,793.09,785.05,1832700
"Nov 04, 2025",777.00,806.00,773.00,790.83,782.81,2046000
"Nov 03, 2025",789.57,796.00,781.44,785.52,777.55,1569100
"Oct 31, 2025",784.98,791.72,783.00,789.37,781.36,1328100
"Oct 30, 2025",783.56,807.14,780.60,790.16,782.15,1829500
"Oct 29, 2025",788.00,800.49,778.82,783.06,775.12,2251500
"Oct 28, 2025",792.05,798.36,787.35,792.09,784.06,1242000
"Oct 27, 2025",789.00,796.71,787.01,789.99,781.98,1645300
"Oct 24, 2025",759.85,784.61,756.00,783.88,775.93,2505600
"Oct 23, 2025",749.34,755.00,744.66,750.78,743.17,1615400
"Oct 22, 2025",760.61,760.61,743.11,744.60,737.05,2141400
"Oct 21, 2025",759.00,765.30,758.27,758.98,751.28,1782200
"Oct 20, 2025",757.00,766.42,752.88,763.32,755.58,1925400
"Oct 17, 2025",758.15,758.94,740.01,750.77,743.16,2884700
"Oct 16, 2025",770.66,781.44,752.41,758.09,750.40,3160900
"Oct 15, 2025",778.62,782.49,762.66,767.93,760.14,3217400
"Oct 14, 2025",764.45,786.57,742.46,770.76,762.94,4710800
"Oct 13, 2025",777.88,791.05,777.88,786.78,778.80,2766000
"Oct 10, 2025",783.12,791.66,764.00,764.36,756.61,2457900
"Oct 09, 2025",778.85,782.91,771.35,779.96,772.05,1575000
"Oct 08, 2025",791.75,795.00,774.34,776.51,768.63,1939300
"Oct 07, 2025",798.00,805.32,781.39,789.65,781.64,1547200
"Oct 06, 2025",795.00,802.50,780.05,796.78,788.70,1632600
"Oct 03, 2025",783.00,794.92,777.86,789.98,781.97,1470500
"Oct 02, 2025",788.88,791.00,772.44,779.38,771.48,1553700
"Oct 01, 2025",793.62,796.28,783.23,785.51,777.54,1788900
