"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",345.50,346.71,343.97,344.10,341.81,2317500
"Dec 30, 2025",346.03,346.98,343.72,346.35,344.05,2392600
"Dec 29, 2025",350.00,350.32,344.75,347.45,345.14,3790000
"Dec 26, 2025",346.99,350.05,346.57,349.78,347.46,1786900
"Dec 24, 2025",344.34,348.26,343.90,347.34,345.03,1368600
"Dec 23, 2025",344.00,347.50,341.94,344.97,342.68,3873400
"Dec 22, 2025",345.31,347.90,343.70,346.39,344.09,3523700
"Dec 19, 2025",354.11,354.11,344.92,345.00,342.71,12825600
"Dec 18, 2025",363.54,366.30,354.56,354.99,352.63,4805200
"Dec 17, 2025",351.97,357.50,350.98,356.75,354.38,3875200
"Dec 16, 2025",356.90,358.74,351.81,352.68,350.34,3497200
"Dec 15, 2025",359.39,362.67,355.62,356.99,354.62,4387400
"Dec 12, 2025",359.26,360.76,356.05,359.65,357.26,3861200
"Dec 11, 2025",356.00,362.72,353.94,357.46,355.09,6609800
"Dec 10, 2025",344.10,352.02,344.00,351.13,348.80,6316100
"Dec 09, 2025",347.76,356.67,344.96,345.27,342.98,5063100
"Dec 08, 2025",351.95,352.09,345.70,349.91,347.59,7273000
"Dec 05, 2025",350.65,355.62,349.53,354.61,352.25,5959200
"Dec 04, 2025",356.29,357.51,350.00,351.17,348.84,4022800
"Dec 03, 2025",354.50,360.47,353.75,357.91,353.25,4166700
"Dec 02, 2025",356.83,357.50,351.30,354.03,349.42,3965300
"Dec 01, 2025",354.05,362.29,352.88,357.33,352.68,5107100
"Nov 28, 2025",354.93,357.83,353.50,356.92,352.27,2119600
"Nov 26, 2025",350.26,357.33,349.00,355.47,350.84,4517300
"Nov 25, 2025",339.00,353.00,338.85,351.07,346.50,6316600
"Nov 24, 2025",342.20,343.71,336.55,336.58,332.20,6132900
"Nov 21, 2025",334.57,346.92,333.00,343.32,338.85,7441300
"Nov 20, 2025",336.36,338.90,332.13,332.38,328.05,4025300
"Nov 19, 2025",340.97,341.75,331.37,334.50,330.14,7595000
"Nov 18, 2025",339.98,348.80,336.01,336.48,332.10,10168500
"Nov 17, 2025",361.13,363.78,356.10,358.03,353.37,5127200
"Nov 14, 2025",365.91,367.33,359.80,362.36,357.64,3413300
"Nov 13, 2025",371.66,373.52,366.62,368.07,363.28,3034800
"Nov 12, 2025",372.06,373.56,369.01,371.13,366.30,3375800
"Nov 11, 2025",371.99,376.00,370.91,374.24,369.37,2407300
"Nov 10, 2025",369.79,370.66,363.45,370.43,365.61,3257900
"Nov 07, 2025",368.99,373.65,367.57,371.11,366.28,2766400
"Nov 06, 2025",371.82,372.66,367.55,369.07,364.26,3622100
"Nov 05, 2025",382.79,383.42,370.53,373.84,368.97,4763000
"Nov 04, 2025",377.35,383.68,376.75,383.08,378.09,2590000
"Nov 03, 2025",377.01,378.48,373.68,378.35,373.42,2897600
"Oct 31, 2025",376.96,380.94,375.01,379.59,374.65,2643500
"Oct 30, 2025",377.71,384.70,376.11,379.55,374.61,2384300
"Oct 29, 2025",383.00,385.00,375.20,378.04,373.12,3852300
"Oct 28, 2025",384.42,390.01,382.83,385.75,380.73,2372800
"Oct 27, 2025",387.70,389.29,382.90,385.27,380.25,3065800
"Oct 24, 2025",389.70,389.70,385.67,386.68,381.64,2426800
"Oct 23, 2025",387.13,388.72,381.30,385.03,380.02,2767300
"Oct 22, 2025",391.25,393.05,388.17,388.97,383.90,2857000
"Oct 21, 2025",387.56,393.63,385.86,390.90,385.81,2306900
"Oct 20, 2025",391.41,393.18,388.09,388.89,383.82,2761100
"Oct 17, 2025",388.50,393.11,387.20,391.90,386.80,2657700
"Oct 16, 2025",389.66,390.00,383.97,387.39,382.34,2783700
"Oct 15, 2025",389.23,394.37,386.73,388.30,383.24,3690100
"Oct 14, 2025",378.87,388.89,378.01,387.72,382.67,4399900
"Oct 13, 2025",379.07,382.31,377.19,379.37,374.43,2925900
"Oct 10, 2025",380.26,380.26,374.78,375.75,370.86,2992400
"Oct 09, 2025",382.90,384.36,377.46,377.69,372.77,3321400
"Oct 08, 2025",386.46,386.46,382.98,383.79,378.79,2517600
"Oct 07, 2025",389.45,389.75,385.51,386.81,381.77,2505700
"Oct 06, 2025",394.50,394.50,385.72,389.33,384.26,3653700
"Oct 03, 2025",394.13,397.32,392.63,395.06,389.91,2951300
"Oct 02, 2025",395.50,397.38,393.79,395.01,389.87,2964700
"Oct 01, 2025",404.39,405.13,395.31,397.02,391.85,3787800
"Sep 30, 2025",406.63,407.00,403.48,405.19,399.91,3211600
"Sep 29, 2025",410.05,410.95,403.85,406.80,401.50,3008400
"Sep 26, 2025",408.16,411.41,405.84,410.09,404.75,2316600
"Sep 25, 2025",406.65,410.86,405.61,407.45,402.14,2554300
"Sep 24, 2025",406.79,410.65,405.01,409.77,404.43,3220700
"Sep 23, 2025",412.00,413.73,407.46,410.91,405.56,2597000
"Sep 22, 2025",414.11,414.88,411.13,412.00,406.63,2656300
