"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",196.36,197.05,195.05,195.09,194.13,2027300
"Dec 30, 2025",196.34,197.58,195.41,196.36,195.39,1904100
"Dec 29, 2025",197.35,197.60,196.24,197.09,196.12,2067900
"Dec 26, 2025",196.73,197.48,195.88,197.37,196.39,1457900
"Dec 24, 2025",195.50,197.14,195.01,196.93,195.96,1480100
"Dec 23, 2025",195.80,196.21,194.72,195.50,194.53,2419700
"Dec 22, 2025",198.28,199.75,195.20,195.96,194.99,4384000
"Dec 19, 2025",198.83,201.06,198.17,199.11,198.13,7866500
"Dec 18, 2025",200.83,201.33,196.66,198.08,197.10,4168300
"Dec 17, 2025",198.41,202.46,198.12,199.89,198.90,6291100
"Dec 16, 2025",197.50,198.76,196.69,198.26,197.28,4734400
"Dec 15, 2025",195.66,197.54,193.37,197.45,196.47,3463300
"Dec 12, 2025",194.12,194.72,192.51,193.66,192.70,3324500
"Dec 11, 2025",192.68,194.43,192.64,193.85,192.89,3733700
"Dec 10, 2025",190.16,192.70,190.12,192.06,191.11,5567800
"Dec 09, 2025",191.17,192.69,189.86,190.17,189.23,2772000
"Dec 08, 2025",192.14,192.36,190.53,191.99,191.04,3239800
"Dec 05, 2025",192.77,193.36,190.65,191.33,190.38,4294300
"Dec 04, 2025",193.46,193.92,191.46,192.23,191.28,4006200
"Dec 03, 2025",193.33,195.20,192.77,193.47,192.51,4181000
"Dec 02, 2025",190.80,193.73,189.53,193.15,192.20,4477200
"Dec 01, 2025",190.28,192.16,189.98,190.22,189.28,3220200
"Nov 28, 2025",190.00,192.40,189.60,192.19,191.24,1644100
"Nov 26, 2025",192.29,192.29,189.95,189.99,189.05,3120900
"Nov 25, 2025",189.82,191.63,189.23,191.02,190.08,3663400
"Nov 24, 2025",190.05,190.19,187.04,188.66,187.73,5304200
"Nov 21, 2025",188.27,191.08,187.84,190.02,189.08,4711500
"Nov 20, 2025",192.43,193.25,186.76,188.14,187.21,3673200
"Nov 19, 2025",190.68,191.35,189.01,190.57,189.63,3394100
