"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",301.76,301.85,295.87,296.21,294.53,3430100
"Dec 30, 2025",306.15,306.24,302.00,302.05,300.34,1883700
"Dec 29, 2025",304.65,310.00,303.75,305.74,304.01,4664500
"Dec 26, 2025",304.69,305.75,303.67,305.09,303.36,2814700
"Dec 24, 2025",303.76,305.15,302.30,304.56,302.83,1210600
"Dec 23, 2025",301.34,305.13,300.65,303.78,302.06,2923000
"Dec 22, 2025",301.03,303.18,298.32,302.79,301.07,2612100
"Dec 19, 2025",300.35,306.86,299.10,300.98,299.27,11031000
"Dec 18, 2025",303.15,304.45,295.70,300.45,298.75,5411700
"Dec 17, 2025",303.79,306.25,303.08,303.32,301.60,3131000
"Dec 16, 2025",307.32,307.38,300.42,303.18,301.46,3366900
"Dec 15, 2025",308.99,311.36,306.35,308.66,306.91,3566700
"Dec 12, 2025",310.57,311.05,303.33,309.24,307.49,2953400
"Dec 11, 2025",312.00,313.44,308.40,310.74,308.98,2755700
"Dec 10, 2025",310.23,314.69,306.65,312.67,310.90,3411500
"Dec 09, 2025",309.63,313.97,308.75,310.48,308.72,2935300
"Dec 08, 2025",309.62,315.35,307.95,309.18,307.43,3630200
"Dec 05, 2025",308.59,311.83,307.18,307.94,306.19,2344700
"Dec 04, 2025",302.88,309.61,302.54,307.99,306.24,2962500
"Dec 03, 2025",302.88,303.97,298.91,302.62,300.90,3953400
"Dec 02, 2025",307.00,310.47,301.57,301.78,300.07,4261100
"Dec 01, 2025",306.51,307.12,302.80,305.67,303.94,3166600
"Nov 28, 2025",304.06,309.18,303.60,308.58,306.83,1689000
"Nov 26, 2025",305.18,306.60,301.64,303.21,301.49,2196400
"Nov 25, 2025",304.13,306.00,297.06,304.48,302.75,2825300
"Nov 24, 2025",299.18,307.18,297.51,304.12,302.40,6050600
"Nov 21, 2025",293.48,300.48,291.89,297.44,295.75,5710900
"Nov 20, 2025",294.64,300.71,290.16,290.40,288.75,5597000
"Nov 19, 2025",290.50,291.11,288.07,288.53,286.89,3595900
"Nov 18, 2025",297.00,297.00,289.92,289.95,288.31,4861900
"Nov 17, 2025",305.59,306.00,296.51,297.17,295.49,3909700
"Nov 14, 2025",300.00,307.72,297.59,305.69,303.96,3592500
"Nov 13, 2025",312.29,314.60,303.68,304.86,303.13,5310200
"Nov 12, 2025",319.89,324.90,314.53,314.98,313.19,6042700
"Nov 11, 2025",309.00,317.91,308.43,313.72,311.94,4381900
"Nov 10, 2025",306.82,309.94,304.23,309.13,307.38,2975200
"Nov 07, 2025",309.68,310.00,302.63,306.38,302.97,5070800
"Nov 06, 2025",306.75,315.44,301.09,312.42,308.95,6818500
"Nov 05, 2025",301.38,307.20,299.71,306.77,303.36,4650400
"Nov 04, 2025",300.00,303.17,296.00,300.85,297.50,5677300
"Nov 03, 2025",308.00,312.14,304.23,304.73,301.34,4958000
"Oct 31, 2025",312.00,313.50,301.63,307.41,303.99,7697500
"Oct 30, 2025",306.65,313.75,305.02,310.06,306.61,4694300
"Oct 29, 2025",312.79,314.33,307.52,308.21,304.78,4135900
"Oct 28, 2025",312.60,319.35,311.41,312.57,309.09,6044800
"Oct 27, 2025",307.80,313.50,302.88,313.09,309.61,9868200
"Oct 24, 2025",283.77,310.75,282.21,307.46,304.04,16914200
"Oct 23, 2025",264.95,285.58,263.56,285.00,281.83,16676400
"Oct 22, 2025",281.99,289.17,281.35,287.51,284.31,10538500
"Oct 21, 2025",283.31,285.31,281.60,282.05,278.91,4081000
"Oct 20, 2025",281.25,285.50,280.96,283.65,280.50,3494300
"Oct 17, 2025",276.15,283.40,275.35,281.28,278.15,5309600
"Oct 16, 2025",281.11,282.56,275.60,275.97,272.90,2956900
"Oct 15, 2025",278.38,285.45,277.00,280.75,277.63,3346800
"Oct 14, 2025",275.52,277.53,272.55,276.15,273.08,3058100
"Oct 13, 2025",279.79,282.44,274.64,277.22,274.14,4333800
"Oct 10, 2025",288.97,290.39,277.50,277.82,274.73,4508500
"Oct 09, 2025",289.82,290.13,283.32,288.23,285.02,4912400
"Oct 08, 2025",294.16,294.20,286.47,289.46,286.24,5297000
"Oct 07, 2025",295.55,301.04,293.29,293.87,290.60,7190100
"Oct 06, 2025",288.61,291.45,287.80,289.42,286.20,2881900
