"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",206.91,207.50,206.37,206.95,205.86,4083800
"Dec 30, 2025",207.51,207.69,206.52,206.91,205.82,3937400
"Dec 29, 2025",208.00,209.47,207.38,207.56,206.46,4348900
"Dec 26, 2025",207.53,208.04,206.71,207.63,206.53,2316700
"Dec 24, 2025",206.00,207.94,205.57,207.78,206.68,2376500
"Dec 23, 2025",205.02,206.53,203.28,205.78,204.69,7047300
"Dec 22, 2025",206.13,208.08,205.50,207.32,206.22,8187800
"Dec 19, 2025",207.56,209.24,206.03,206.37,205.28,24803900
"Dec 18, 2025",209.80,211.06,207.76,208.31,207.21,7499900
"Dec 17, 2025",209.39,211.52,208.46,210.33,209.22,8457600
"Dec 16, 2025",214.00,214.73,208.81,209.30,208.19,9949800
"Dec 15, 2025",210.35,215.19,209.01,214.17,213.04,8467000
"Dec 12, 2025",210.28,212.27,208.96,211.58,210.46,6922700
"Dec 11, 2025",207.90,211.24,207.83,210.01,208.90,9009000
"Dec 10, 2025",200.59,206.80,200.18,206.54,205.45,11599800
"Dec 09, 2025",202.92,205.54,199.91,199.96,198.90,7509400
"Dec 08, 2025",202.66,203.26,200.99,201.62,200.55,7785700
"Dec 05, 2025",202.98,203.45,200.81,201.93,200.86,7785300
"Dec 04, 2025",204.59,204.86,201.71,202.48,201.41,9049900
"Dec 03, 2025",205.90,207.02,204.99,205.33,204.24,8363300
"Dec 02, 2025",205.24,205.61,203.10,205.42,204.33,8393600
"Dec 01, 2025",206.50,207.70,205.34,205.34,204.25,8473700
"Nov 28, 2025",207.00,207.46,204.63,206.92,205.83,5638300
"Nov 26, 2025",206.49,207.81,205.94,207.56,206.46,6729000
"Nov 25, 2025",205.18,207.72,205.18,206.67,205.58,10275300
"Nov 24, 2025",203.71,206.12,203.00,206.05,203.67,14803900
"Nov 21, 2025",203.96,206.94,202.99,203.90,201.54,13189100
"Nov 20, 2025",202.00,204.51,201.57,203.07,200.72,10612600
"Nov 19, 2025",200.00,203.48,199.38,202.51,200.17,14690800
"Nov 18, 2025",199.01,200.30,198.53,200.00,197.69,12468600
"Nov 17, 2025",196.96,200.28,195.90,199.58,197.27,13257000
"Nov 14, 2025",195.00,197.18,193.55,195.93,193.66,8824800
"Nov 13, 2025",194.21,196.00,193.45,195.25,192.99,8631600
"Nov 12, 2025",193.36,195.55,193.07,194.39,192.14,8803000
"Nov 11, 2025",189.39,193.92,189.05,193.83,191.59,7465600
"Nov 10, 2025",186.00,188.42,185.12,188.41,186.23,5323800
"Nov 07, 2025",187.74,188.35,185.70,186.57,184.41,6959200
"Nov 06, 2025",186.76,187.52,185.37,186.97,184.81,6767400
"Nov 05, 2025",186.64,187.83,185.40,186.00,183.85,5049400
"Nov 04, 2025",186.83,187.82,185.62,186.86,184.70,7209400
"Nov 03, 2025",189.00,189.03,185.52,186.26,184.11,7542600
"Oct 31, 2025",187.46,189.50,186.76,188.87,186.69,8791700
"Oct 30, 2025",187.08,189.38,186.91,189.05,186.86,7072500
"Oct 29, 2025",186.70,187.10,184.66,186.60,184.44,10551100
"Oct 28, 2025",189.26,189.51,186.62,186.93,184.77,8329500
"Oct 27, 2025",189.99,190.80,189.53,190.30,188.10,7126000
"Oct 24, 2025",192.20,192.31,189.42,190.40,188.20,6903400
"Oct 23, 2025",192.56,194.00,191.54,192.47,190.24,8882500
"Oct 22, 2025",192.00,193.45,191.78,192.94,190.71,6343100
"Oct 21, 2025",193.01,193.55,191.77,191.88,189.66,6716000
"Oct 20, 2025",193.50,194.48,192.33,193.72,191.48,8034700
"Oct 17, 2025",192.50,193.60,191.68,193.22,190.99,7764400
"Oct 16, 2025",191.34,193.05,190.43,192.12,189.90,10611800
"Oct 15, 2025",191.48,193.57,189.30,191.17,188.96,9473000
"Oct 14, 2025",192.92,194.40,185.88,190.85,188.64,13613300
"Oct 13, 2025",189.83,191.30,189.28,190.90,188.69,7979500
"Oct 10, 2025",192.01,192.07,189.85,190.72,188.51,9598000
"Oct 09, 2025",190.00,192.10,189.73,191.08,188.87,7484800
"Oct 08, 2025",188.87,190.22,188.27,189.69,187.50,5751200
"Oct 07, 2025",183.77,189.23,182.94,188.89,186.71,8776800
"Oct 06, 2025",188.00,189.92,187.37,188.16,185.98,5806100
"Oct 03, 2025",187.06,189.78,186.91,188.64,186.46,8675100
"Oct 02, 2025",184.19,186.59,184.09,185.98,183.83,7728100
"Oct 01, 2025",186.00,186.56,183.91,186.05,183.90,13063800
"Sep 30, 2025",181.70,185.99,181.07,185.42,183.28,11569000
"Sep 29, 2025",179.83,181.87,179.80,181.62,179.52,8597100
"Sep 26, 2025",178.60,179.91,177.32,179.71,177.63,8634400
"Sep 25, 2025",177.20,178.40,175.91,177.73,175.67,8475000
"Sep 24, 2025",176.14,176.95,175.74,176.69,174.65,6676800
"Sep 23, 2025",174.89,176.97,174.83,176.58,174.54,8350400
"Sep 22, 2025",176.09,176.64,174.12,174.21,172.20,7193900
"Sep 19, 2025",174.69,177.16,173.33,176.19,174.15,25621000
"Sep 18, 2025",176.60,177.02,173.87,174.16,172.15,8200900
"Sep 17, 2025",176.71,178.51,176.59,177.20,175.15,6714900
"Sep 16, 2025",177.57,177.62,175.65,176.46,174.42,7959300
"Sep 15, 2025",177.76,178.99,176.93,177.40,175.35,4768100
"Sep 12, 2025",177.71,178.80,176.72,178.06,176.00,7220200
"Sep 11, 2025",175.75,178.85,175.63,178.50,176.44,5792500
"Sep 10, 2025",176.30,176.61,174.33,175.79,173.76,6891600
"Sep 09, 2025",178.00,178.09,176.45,176.96,174.91,6005700
"Sep 08, 2025",177.36,179.45,176.70,178.13,176.07,8382500
"Sep 05, 2025",178.00,179.51,176.56,178.43,176.37,9733800
"Sep 04, 2025",178.00,178.90,177.55,178.76,176.69,7854800
"Sep 03, 2025",177.67,178.29,176.53,178.00,175.94,7111700
"Sep 02, 2025",177.47,179.20,176.89,178.06,176.00,9049000
"Aug 29, 2025",175.97,177.41,175.45,177.17,175.12,6942300
"Aug 28, 2025",176.37,176.49,174.63,175.45,173.42,6424700
"Aug 27, 2025",176.97,177.69,176.16,176.79,174.75,5951100
"Aug 26, 2025",176.75,177.16,175.77,176.49,174.45,9145000
"Aug 25, 2025",179.52,180.26,178.29,178.41,175.06,6229100
"Aug 22, 2025",180.04,181.16,177.47,179.29,175.93,9524000
"Aug 21, 2025",178.55,180.08,178.16,178.93,175.57,8859600
"Aug 20, 2025",178.50,180.61,178.00,178.84,175.48,9030000
"Aug 19, 2025",176.04,178.18,175.98,177.80,174.46,9274200
"Aug 18, 2025",176.50,177.57,176.10,176.25,172.94,9284000
"Aug 15, 2025",175.57,177.27,174.96,176.64,173.33,9477600
"Aug 14, 2025",174.31,175.72,172.72,174.72,171.44,8241700
"Aug 13, 2025",173.00,174.54,172.70,174.42,171.15,5878700
"Aug 12, 2025",174.00,174.76,171.81,172.78,169.54,7916700
"Aug 11, 2025",173.40,174.60,173.05,173.82,170.56,7256800
"Aug 08, 2025",171.02,173.96,170.39,173.33,170.08,7686800
"Aug 07, 2025",171.17,171.62,169.92,171.53,168.31,9315900
"Aug 06, 2025",169.91,172.18,169.68,170.59,167.39,8957200
"Aug 05, 2025",170.54,171.56,169.65,170.74,167.54,7934400
"Aug 04, 2025",167.03,171.19,166.64,171.04,167.83,12679100
"Aug 01, 2025",165.48,167.62,164.79,167.33,164.19,8927800
"Jul 31, 2025",165.93,167.07,164.23,164.74,161.65,11036200
"Jul 30, 2025",167.70,168.61,166.78,167.26,164.12,6189200
"Jul 29, 2025",166.67,168.78,166.37,168.11,164.96,7663400
"Jul 28, 2025",167.86,167.94,165.05,166.22,163.10,8014600
"Jul 25, 2025",169.75,169.88,167.44,168.30,165.14,6254900
"Jul 24, 2025",169.50,169.99,168.88,169.56,166.38,6636900
"Jul 23, 2025",168.60,169.12,166.59,169.10,165.93,10617600
"Jul 22, 2025",165.00,168.06,164.71,167.93,164.78,9288000
"Jul 21, 2025",163.77,164.92,162.78,164.36,161.28,8254000
"Jul 18, 2025",163.93,165.10,163.36,163.70,160.63,9792600
"Jul 17, 2025",163.18,164.70,162.30,162.98,159.92,11295700
"Jul 16, 2025",160.30,166.12,159.80,164.78,161.69,22134800
"Jul 15, 2025",156.36,157.19,154.80,155.17,152.26,6873200
"Jul 14, 2025",156.87,157.47,155.52,156.82,153.88,10185600
"Jul 11, 2025",157.09,157.18,155.18,156.90,153.96,7872000
"Jul 10, 2025",156.10,159.24,155.82,157.69,154.73,6732900
"Jul 09, 2025",155.79,156.69,155.07,156.28,153.35,6147400
"Jul 08, 2025",154.48,156.76,154.21,155.79,152.87,6438200
"Jul 07, 2025",156.02,156.35,154.89,155.27,152.36,6270900
"Jul 03, 2025",155.43,156.28,154.88,156.01,153.08,3482500
"Jul 02, 2025",156.00,156.30,155.07,155.56,152.64,5544000
"Jul 01, 2025",153.00,157.75,152.81,155.92,152.99,10896700
