"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",324.34,324.88,322.04,322.22,319.14,5048500
"Dec 30, 2025",324.81,324.94,322.49,323.42,320.33,7904300
"Dec 29, 2025",327.00,327.77,323.53,323.75,320.66,8635300
"Dec 26, 2025",329.11,330.86,326.54,327.91,324.78,4158300
"Dec 24, 2025",326.24,329.99,325.50,329.17,326.02,4289300
"Dec 23, 2025",323.61,327.78,323.09,325.93,322.81,6668300
"Dec 22, 2025",317.51,323.23,317.51,323.09,320.00,8354600
"Dec 19, 2025",313.79,318.56,313.19,317.21,314.18,24494400
"Dec 18, 2025",316.00,317.70,312.22,313.00,310.01,11444900
"Dec 17, 2025",318.43,319.37,314.66,314.98,311.97,8718700
"Dec 16, 2025",319.09,319.52,314.40,315.55,312.53,8331300
"Dec 15, 2025",319.59,322.88,318.39,320.02,316.96,10864100
"Dec 12, 2025",319.68,320.27,316.60,318.52,315.48,8982900
"Dec 11, 2025",309.24,318.00,309.24,317.38,314.35,9721900
"Dec 10, 2025",300.50,311.19,298.46,310.11,307.15,18874100
"Dec 09, 2025",314.95,318.80,300.02,300.51,297.64,18049200
"Dec 08, 2025",315.06,316.47,313.35,315.21,312.20,7417200
"Dec 05, 2025",315.64,318.48,314.68,315.04,312.03,6518900
"Dec 04, 2025",313.26,318.49,313.00,316.10,313.08,9627800
"Dec 03, 2025",307.20,312.36,306.80,312.13,309.15,8535300
"Dec 02, 2025",308.74,310.48,307.09,307.88,304.94,7249000
"Dec 01, 2025",312.95,314.04,308.54,308.92,305.97,7727300
"Nov 28, 2025",309.10,313.72,308.24,313.08,310.09,4322400
"Nov 26, 2025",305.00,308.53,303.20,307.64,304.70,7910900
"Nov 25, 2025",300.05,304.50,295.56,303.00,300.10,8877200
"Nov 24, 2025",298.24,299.82,294.51,298.00,295.15,10940200
"Nov 21, 2025",301.29,301.68,292.81,298.02,295.17,11766800
"Nov 20, 2025",306.34,309.92,298.16,298.38,295.53,7501600
"Nov 19, 2025",299.74,304.45,299.27,303.27,300.37,5546600
"Nov 18, 2025",299.50,302.95,297.02,299.41,296.55,8077300
"Nov 17, 2025",304.00,305.59,297.67,300.37,297.50,8344000
"Nov 14, 2025",307.51,307.64,301.23,303.61,300.71,10327000
"Nov 13, 2025",319.23,320.63,309.10,309.48,306.52,8973300
"Nov 12, 2025",316.26,322.25,316.21,320.41,317.35,10578300
"Nov 11, 2025",317.50,319.05,315.28,315.62,312.60,5030200
