"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",70.07,70.16,69.88,69.91,69.43,8127800
"Dec 30, 2025",70.00,70.24,69.80,70.07,69.59,8610900
"Dec 29, 2025",70.00,70.42,69.85,70.16,69.68,9686900
"Dec 26, 2025",69.95,70.16,69.73,69.87,69.39,5711400
"Dec 24, 2025",69.90,70.16,69.75,70.11,69.63,4515300
"Dec 23, 2025",70.20,70.26,69.69,69.87,69.39,9471000
"Dec 22, 2025",69.93,70.22,69.66,70.21,69.73,12828500
"Dec 19, 2025",70.06,70.77,70.03,70.06,69.58,36911100
"Dec 18, 2025",70.27,70.80,70.17,70.36,69.88,15524800
"Dec 17, 2025",70.57,70.92,70.31,70.67,70.19,13672700
"Dec 16, 2025",71.30,71.30,70.32,70.37,69.89,17370000
"Dec 15, 2025",70.43,71.32,70.32,70.97,70.49,18660100
"Dec 12, 2025",69.11,70.62,69.04,70.52,70.04,18444500
"Dec 11, 2025",70.55,70.69,68.79,69.11,68.64,23124200
"Dec 10, 2025",70.39,70.53,69.78,70.21,69.73,29789400
"Dec 09, 2025",70.37,70.63,69.83,70.09,69.61,13010600
"Dec 08, 2025",69.84,70.38,69.49,70.25,69.77,17775100
"Dec 05, 2025",70.32,70.71,69.87,70.00,69.52,13978200
"Dec 04, 2025",70.83,71.34,70.37,70.45,69.97,17710000
"Dec 03, 2025",70.88,71.40,70.61,70.81,70.33,17001700
"Dec 02, 2025",71.80,71.80,70.43,70.67,70.19,19871300
"Dec 01, 2025",72.60,72.91,71.93,71.95,71.46,14388100
"Nov 28, 2025",73.00,73.23,72.76,73.12,72.11,7423000
"Nov 26, 2025",72.60,73.09,72.39,72.88,71.88,11795100
"Nov 25, 2025",72.80,72.93,72.14,72.61,71.61,17451200
"Nov 24, 2025",73.16,73.16,71.57,72.59,71.59,39818600
"Nov 21, 2025",71.68,73.19,71.49,72.95,71.95,26492500
"Nov 20, 2025",70.95,71.48,70.61,71.21,70.23,15396500
"Nov 19, 2025",71.20,71.45,70.81,71.11,70.13,12401500
"Nov 18, 2025",70.99,71.34,70.57,71.22,70.24,12838900
"Nov 17, 2025",71.20,71.53,70.62,70.68,69.71,14772300
"Nov 14, 2025",71.41,71.64,70.60,71.16,70.18,13172000
"Nov 13, 2025",71.42,71.67,71.00,71.07,70.09,14002800
"Nov 12, 2025",71.49,71.89,71.34,71.51,70.53,13612600
