"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",307.78,308.21,305.35,305.63,303.93,1903600
"Dec 30, 2025",307.08,308.64,306.77,308.03,306.32,1678300
"Dec 29, 2025",310.46,311.10,308.22,308.53,306.82,2148300
"Dec 26, 2025",312.98,313.26,309.87,310.68,308.95,1308900
"Dec 24, 2025",310.68,313.40,310.28,313.33,311.59,1011500
"Dec 23, 2025",312.10,314.12,310.63,310.84,309.11,2922800
"Dec 22, 2025",315.00,318.27,314.47,316.22,314.46,2514600
"Dec 19, 2025",318.70,319.33,315.75,315.84,314.09,7128600
"Dec 18, 2025",319.38,321.79,318.35,319.65,317.87,3335200
"Dec 17, 2025",315.55,319.20,315.00,318.69,316.92,3328600
"Dec 16, 2025",319.11,320.58,314.31,314.50,312.75,2972300
"Dec 15, 2025",316.70,319.66,315.80,318.73,316.96,3814900
"Dec 12, 2025",310.53,317.79,310.37,316.72,314.96,3771900
"Dec 11, 2025",311.50,312.98,309.06,309.71,307.99,4844000
"Dec 10, 2025",309.50,311.32,306.01,310.53,308.80,4103900
"Dec 09, 2025",310.69,312.70,308.42,310.79,309.06,2355100
"Dec 08, 2025",312.00,313.75,309.05,309.79,308.07,3575000
"Dec 05, 2025",308.66,312.05,308.20,311.23,309.50,3147200
"Dec 04, 2025",308.53,313.80,307.32,308.54,306.83,4632200
"Dec 03, 2025",302.40,308.75,302.06,307.71,306.00,4986900
"Dec 02, 2025",303.80,303.82,299.59,300.72,299.05,3947800
"Dec 01, 2025",309.48,309.50,303.37,303.57,301.88,3354100
"Nov 28, 2025",312.37,313.30,310.69,311.82,308.24,1850700
"Nov 26, 2025",311.57,312.87,309.72,312.40,308.81,2786600
"Nov 25, 2025",306.75,311.46,306.75,310.45,306.88,4189600
"Nov 24, 2025",308.99,310.34,304.03,304.90,301.40,3687300
"Nov 21, 2025",306.27,310.54,306.16,309.35,305.80,3348900
"Nov 20, 2025",302.45,305.64,301.87,304.16,300.67,4205100
"Nov 19, 2025",304.59,304.84,302.04,302.74,299.26,2008300
"Nov 18, 2025",305.68,308.44,304.16,304.59,301.09,2773800
"Nov 17, 2025",307.17,307.70,304.10,304.90,301.40,2435700
"Nov 14, 2025",308.45,310.75,303.33,307.03,303.50,3112500
"Nov 13, 2025",307.30,310.10,306.50,307.58,304.05,2294300
"Nov 12, 2025",306.78,309.09,305.78,306.94,303.41,2818600
"Nov 11, 2025",300.86,307.29,300.85,306.83,303.31,2755800
"Nov 10, 2025",299.00,300.02,296.04,299.10,295.66,3824300
"Nov 07, 2025",300.34,302.55,298.33,299.66,296.22,3250100
"Nov 06, 2025",304.26,306.41,297.51,298.41,294.98,3544900
"Nov 05, 2025",299.56,310.17,299.21,305.67,302.16,6070300
"Nov 04, 2025",298.21,299.75,296.42,299.21,295.77,4151300
"Nov 03, 2025",297.67,297.92,294.44,296.37,292.97,3899300
"Oct 31, 2025",300.00,300.71,297.00,298.43,295.00,3582700
"Oct 30, 2025",300.50,304.39,300.10,302.43,298.96,3128400
"Oct 29, 2025",304.70,304.78,301.22,302.35,298.88,2502300
"Oct 28, 2025",308.54,310.58,306.33,306.40,302.88,2336500
"Oct 27, 2025",305.90,310.09,305.34,310.00,306.44,2139700
"Oct 24, 2025",307.63,307.70,305.02,305.79,302.28,1994500
"Oct 23, 2025",311.97,311.97,306.22,306.97,303.44,2081500
"Oct 22, 2025",308.22,312.79,307.15,310.11,306.55,2735700
"Oct 21, 2025",308.55,308.55,306.39,307.48,303.95,2461100
"Oct 20, 2025",307.95,308.70,305.84,307.77,304.23,2329600
"Oct 17, 2025",306.80,308.33,306.31,308.09,304.55,2194200
"Oct 16, 2025",305.79,307.28,304.71,305.33,301.82,2021600
"Oct 15, 2025",303.63,309.10,303.63,305.25,301.74,2522100
"Oct 14, 2025",300.16,305.52,300.11,304.56,301.06,2992800
"Oct 13, 2025",294.60,300.42,294.00,300.11,296.66,3369300
"Oct 10, 2025",294.70,297.95,292.89,297.01,293.60,4016200
"Oct 09, 2025",293.65,295.12,292.04,293.81,290.43,2802700
"Oct 08, 2025",296.38,296.66,293.43,294.40,291.02,2464600
"Oct 07, 2025",295.00,298.07,294.13,296.32,292.92,2515700
"Oct 06, 2025",299.04,299.65,294.91,296.04,292.64,3814200
"Oct 03, 2025",298.90,301.39,298.66,300.98,297.52,2599100
"Oct 02, 2025",299.60,302.38,298.95,299.88,296.44,2690400
"Oct 01, 2025",303.26,304.77,298.30,300.52,297.07,3055300
"Sep 30, 2025",302.75,304.48,302.00,303.89,300.40,2640100
"Sep 29, 2025",305.88,306.11,301.85,302.99,299.51,3073800
"Sep 26, 2025",303.37,305.78,302.01,305.24,301.73,2284700
"Sep 25, 2025",305.88,306.33,301.95,302.30,298.83,2558400
"Sep 24, 2025",302.49,305.98,302.01,304.33,300.83,2427300
"Sep 23, 2025",303.74,304.45,300.32,303.19,299.71,2976900
"Sep 22, 2025",302.32,304.25,300.42,302.99,299.51,3657900
"Sep 19, 2025",301.70,304.80,300.75,302.38,298.91,5696900
"Sep 18, 2025",301.47,302.69,297.88,301.14,297.68,4654100
"Sep 17, 2025",304.90,306.58,303.91,304.97,301.47,2681600
"Sep 16, 2025",303.50,306.00,302.70,303.29,299.81,3578500
"Sep 15, 2025",305.14,305.71,300.51,302.07,298.60,3584500
"Sep 12, 2025",307.62,308.51,305.25,305.40,301.89,2072600
"Sep 11, 2025",306.23,308.94,305.25,308.43,304.89,2761500
"Sep 10, 2025",312.09,312.09,304.61,305.94,302.43,3479500
"Sep 09, 2025",311.21,313.70,310.73,312.52,308.93,2310800
"Sep 08, 2025",312.82,313.08,309.76,312.80,309.21,2873600
"Sep 05, 2025",317.37,318.04,313.27,314.38,310.77,2533100
"Sep 04, 2025",317.82,319.43,316.48,316.99,313.35,2881300
"Sep 03, 2025",315.02,316.87,312.98,316.39,312.76,3219500
"Sep 02, 2025",313.05,316.13,312.33,315.76,312.13,3228700
"Aug 29, 2025",312.23,313.90,311.43,313.54,308.19,2492500
"Aug 28, 2025",311.12,312.52,309.35,312.22,306.89,3471700
"Aug 27, 2025",313.36,315.72,311.34,311.43,306.11,3234400
"Aug 26, 2025",313.43,315.12,312.30,312.94,307.60,2807600
"Aug 25, 2025",313.73,315.55,311.95,313.44,308.09,2944300
"Aug 22, 2025",314.63,316.80,313.15,314.07,308.71,2796700
"Aug 21, 2025",311.87,313.60,311.17,313.22,307.87,2282200
"Aug 20, 2025",313.67,316.15,312.39,313.08,307.74,3879900
"Aug 19, 2025",308.70,314.22,308.45,310.93,305.62,2893600
"Aug 18, 2025",308.37,309.98,306.56,308.70,303.43,3272600
"Aug 15, 2025",310.16,310.16,306.50,308.93,303.66,3416600
"Aug 14, 2025",305.50,309.29,302.70,308.95,303.68,4699400
"Aug 13, 2025",301.70,305.31,301.40,305.07,299.86,2999100
"Aug 12, 2025",305.17,305.50,299.89,301.64,296.49,3438300
"Aug 11, 2025",305.50,307.30,303.78,304.36,299.17,2649000
"Aug 08, 2025",307.00,308.55,303.89,305.45,300.24,2622000
