"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",161.17,161.34,160.04,160.10,159.38,1201700
"Dec 30, 2025",161.48,161.68,160.64,161.17,160.45,1293600
"Dec 29, 2025",161.87,162.70,160.82,161.72,161.00,2185100
"Dec 26, 2025",160.32,162.18,160.00,162.08,161.36,1245700
"Dec 24, 2025",160.11,160.68,159.07,160.34,159.62,854400
"Dec 23, 2025",159.98,160.49,158.45,160.15,159.43,1828900
"Dec 22, 2025",162.18,162.64,159.07,160.00,159.29,2334600
"Dec 19, 2025",161.68,163.94,161.68,161.96,161.24,3715700
"Dec 18, 2025",163.37,164.23,161.43,161.76,161.04,2606000
"Dec 17, 2025",162.19,164.23,161.01,162.17,161.45,2638500
"Dec 16, 2025",166.00,167.00,162.84,163.20,162.47,2786500
"Dec 15, 2025",169.56,170.36,165.19,165.70,164.96,2576400
"Dec 12, 2025",168.47,169.84,167.80,168.90,168.15,2423500
"Dec 11, 2025",166.56,170.00,166.22,168.60,167.85,2525200
"Dec 10, 2025",164.58,166.73,163.41,165.66,164.92,3382000
"Dec 09, 2025",163.40,165.74,163.40,165.09,164.35,2335000
"Dec 08, 2025",165.77,165.82,162.29,163.96,163.23,3254000
"Dec 05, 2025",169.20,169.34,165.66,167.48,166.73,3021400
"Dec 04, 2025",171.90,172.01,168.74,169.27,168.51,2860400
"Dec 03, 2025",172.05,174.69,171.16,173.09,172.32,2883300
"Dec 02, 2025",170.88,171.93,169.65,171.56,170.79,1928500
"Dec 01, 2025",170.68,171.98,169.61,170.48,169.72,2244600
"Nov 28, 2025",170.66,172.24,170.01,172.05,171.28,1596300
"Nov 26, 2025",171.11,172.37,170.68,170.80,170.04,2031600
"Nov 25, 2025",170.29,172.16,170.22,171.54,170.77,2605800
"Nov 24, 2025",168.24,170.76,166.64,169.56,168.80,7138100
"Nov 21, 2025",165.36,169.38,165.17,168.09,167.34,3183500
"Nov 20, 2025",168.73,169.75,163.96,164.61,163.87,3303500
"Nov 19, 2025",165.59,167.31,164.56,166.58,165.84,2219100
"Nov 18, 2025",163.99,166.59,163.31,165.79,165.05,2325700
"Nov 17, 2025",166.91,167.82,164.97,165.39,164.65,2908400
"Nov 14, 2025",168.91,169.34,166.99,167.58,166.83,2748800
"Nov 13, 2025",170.42,172.56,169.25,170.62,169.13,3878900
"Nov 12, 2025",168.66,171.78,168.66,171.08,169.59,2694300
"Nov 11, 2025",167.67,170.18,166.00,168.67,167.20,2365800
"Nov 10, 2025",165.00,169.17,163.97,167.67,166.21,2754900
"Nov 07, 2025",163.91,165.28,162.66,164.84,163.40,2506400
"Nov 06, 2025",164.20,165.49,159.57,163.85,162.42,5193100
"Nov 05, 2025",160.69,164.83,160.14,164.32,162.89,2656200
"Nov 04, 2025",161.82,162.23,159.35,160.59,159.19,3520900
"Nov 03, 2025",166.01,166.28,161.49,162.19,160.77,3141200
"Oct 31, 2025",165.49,167.34,165.21,166.50,165.05,2096600
"Oct 30, 2025",165.01,169.26,164.60,166.45,165.00,2143700
"Oct 29, 2025",167.15,168.00,163.61,164.63,163.19,3163400
"Oct 28, 2025",168.32,168.50,166.35,166.83,165.37,2448100
"Oct 27, 2025",169.98,170.63,167.40,168.40,166.93,2922300
"Oct 24, 2025",172.00,172.85,167.75,168.50,167.03,3612300
"Oct 23, 2025",167.22,171.63,166.71,171.60,170.10,4779100
"Oct 22, 2025",167.16,169.18,165.53,167.23,165.77,5275800
"Oct 21, 2025",158.00,166.82,152.80,166.64,165.19,7302200
"Oct 20, 2025",153.23,156.07,153.03,154.78,153.43,4230400
"Oct 17, 2025",151.45,153.07,151.27,152.64,151.31,4494000
"Oct 16, 2025",154.47,154.47,150.61,151.41,150.09,4279200
"Oct 15, 2025",153.69,155.66,152.71,153.47,152.13,2381500
"Oct 14, 2025",149.27,153.71,149.27,152.53,151.20,2604800
"Oct 13, 2025",150.57,152.43,150.42,151.10,149.78,2724800
"Oct 10, 2025",153.24,154.25,148.46,148.75,147.45,3504400
"Oct 09, 2025",156.10,156.60,151.37,152.88,151.55,2512200
"Oct 08, 2025",155.71,156.09,152.78,156.00,154.64,2084200
"Oct 07, 2025",156.83,157.94,155.18,155.33,153.97,1696700
"Oct 06, 2025",158.70,159.21,154.63,155.93,154.57,2421400
"Oct 03, 2025",158.92,160.39,157.71,158.66,157.28,3411600
"Oct 02, 2025",157.26,159.58,156.54,158.80,157.41,2167500
"Oct 01, 2025",154.45,156.54,154.26,156.00,154.64,2297900
"Sep 30, 2025",153.85,155.22,152.43,155.18,153.83,2177100
"Sep 29, 2025",153.50,154.40,152.54,154.08,152.74,2043400
"Sep 26, 2025",154.02,154.50,152.37,152.81,151.48,2104000
"Sep 25, 2025",154.00,154.00,151.82,153.03,151.69,2949300
"Sep 24, 2025",156.00,156.50,154.46,154.60,153.25,1739300
"Sep 23, 2025",153.84,158.14,153.84,156.29,154.93,2254000
"Sep 22, 2025",155.60,155.71,153.64,153.86,152.52,2484800
"Sep 19, 2025",155.91,157.41,154.69,156.60,155.23,6507100
"Sep 18, 2025",155.15,156.92,154.31,155.40,154.04,1795000
"Sep 17, 2025",156.50,158.54,153.54,155.16,153.81,2757300
"Sep 16, 2025",156.90,157.48,153.63,156.50,155.13,2208600
"Sep 15, 2025",158.00,158.38,155.25,156.66,155.29,3219500
"Sep 12, 2025",159.11,162.10,157.81,157.87,156.49,2865100
"Sep 11, 2025",153.79,159.50,153.40,159.47,158.08,3663900
"Sep 10, 2025",153.16,155.21,152.46,153.57,152.23,2811600
"Sep 09, 2025",154.15,154.15,151.55,153.08,151.74,1669200
"Sep 08, 2025",154.61,154.98,152.00,154.00,152.66,2715500
"Sep 05, 2025",155.80,157.56,154.28,155.30,153.94,2053300
"Sep 04, 2025",152.20,155.60,152.02,155.52,154.16,2741200
"Sep 03, 2025",153.50,154.09,150.43,152.00,150.67,3964400
"Sep 02, 2025",153.95,154.49,151.70,154.27,152.92,2745100
"Aug 29, 2025",157.60,158.24,155.32,155.53,154.17,3279100
"Aug 28, 2025",157.76,158.47,156.58,157.56,156.19,2982200
"Aug 27, 2025",156.04,157.22,155.75,156.53,155.16,2155000
"Aug 26, 2025",155.76,156.72,154.58,156.57,155.20,2960600
"Aug 25, 2025",157.59,157.92,155.80,155.85,154.49,1606300
"Aug 22, 2025",155.75,159.11,155.00,158.72,156.61,1958200
"Aug 21, 2025",154.37,155.21,153.15,154.38,152.33,2236900
"Aug 20, 2025",154.12,155.34,153.17,154.75,152.69,3258200
