"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",105.94,106.10,104.99,105.26,104.49,7557300
"Dec 30, 2025",106.73,106.88,105.64,106.06,105.28,6497900
"Dec 29, 2025",106.85,107.59,106.43,106.62,105.84,8086900
"Dec 26, 2025",106.45,107.05,106.03,106.78,105.99,6280700
"Dec 24, 2025",105.37,106.95,105.28,106.45,105.67,5335000
"Dec 23, 2025",104.56,105.39,104.33,105.04,104.27,13587500
"Dec 22, 2025",100.63,104.95,100.40,104.72,103.95,17136200
"Dec 19, 2025",100.60,102.20,100.11,101.09,100.35,44980200
"Dec 18, 2025",99.27,101.37,98.86,100.69,99.95,14312800
"Dec 17, 2025",98.18,100.14,98.06,99.18,98.45,13180600
"Dec 16, 2025",100.30,100.34,96.79,98.27,97.55,16663600
"Dec 15, 2025",99.99,100.94,98.00,100.26,99.52,16735900
"Dec 12, 2025",98.96,100.66,98.32,100.30,98.72,11810800
"Dec 11, 2025",98.44,99.14,97.58,99.01,97.45,11808200
"Dec 10, 2025",98.05,98.17,96.47,97.62,96.08,18077700
"Dec 09, 2025",99.32,99.85,96.06,96.89,95.36,16283900
"Dec 08, 2025",99.38,99.67,97.81,98.93,97.37,12902600
"Dec 05, 2025",101.40,102.09,99.19,99.72,98.15,16430400
"Dec 04, 2025",102.10,102.60,100.54,100.89,99.30,12770700
"Dec 03, 2025",101.90,103.09,101.52,102.27,100.66,12541600
"Dec 02, 2025",101.53,101.80,100.31,101.03,99.44,11795000
"Dec 01, 2025",104.72,105.68,101.71,101.83,100.22,14178300
"Nov 28, 2025",104.84,105.41,104.12,104.83,103.18,6154500
"Nov 26, 2025",104.60,105.75,104.20,104.63,102.98,12624000
"Nov 25, 2025",100.73,105.84,100.71,105.66,103.99,22225500
"Nov 24, 2025",99.12,102.36,99.12,100.40,98.82,28320900
"Nov 21, 2025",95.48,100.27,95.36,97.76,96.22,23183300
"Nov 20, 2025",94.97,96.00,93.90,94.97,93.47,12554200
"Nov 19, 2025",96.00,97.14,94.09,95.05,93.55,14641300
"Nov 18, 2025",94.11,97.66,92.11,96.43,94.91,28153500
