"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",487.84,488.14,483.30,483.62,482.52,15601600
"Dec 30, 2025",485.93,489.68,485.50,487.48,486.37,13944500
"Dec 29, 2025",484.86,488.35,484.18,487.10,485.99,10893400
"Dec 26, 2025",486.71,488.12,485.96,487.71,486.60,8842200
"Dec 24, 2025",485.68,489.16,484.83,488.02,486.91,5855900
"Dec 23, 2025",484.98,487.83,484.74,486.85,485.74,14683600
"Dec 22, 2025",486.12,488.73,482.69,484.92,483.82,16963000
"Dec 19, 2025",487.36,487.85,482.49,485.92,484.81,70836100
"Dec 18, 2025",478.19,489.60,477.89,483.98,482.88,28573500
"Dec 17, 2025",476.91,480.00,475.00,476.12,475.04,24527200
"Dec 16, 2025",471.91,477.89,470.88,476.39,475.31,20705600
"Dec 15, 2025",480.10,480.72,472.52,474.82,473.74,23727700
"Dec 12, 2025",479.82,482.45,476.34,478.53,477.44,21248100
"Dec 11, 2025",476.63,486.03,475.86,483.47,482.37,24669200
"Dec 10, 2025",484.03,484.25,475.08,478.56,477.47,35756200
"Dec 09, 2025",489.10,492.12,488.50,492.02,490.90,14696100
"Dec 08, 2025",484.89,492.30,484.38,491.02,489.90,21965900
"Dec 05, 2025",482.52,483.40,478.88,483.16,482.06,22608700
"Dec 04, 2025",479.76,481.32,476.49,480.84,479.74,22318200
"Dec 03, 2025",476.32,484.24,475.20,477.73,476.64,34615100
"Dec 02, 2025",486.72,493.50,486.32,490.00,488.88,19562700
"Dec 01, 2025",488.44,489.86,484.65,486.74,485.63,23964000
"Nov 28, 2025",487.60,492.63,486.65,492.01,490.89,14386700
"Nov 26, 2025",486.31,488.31,481.20,485.50,484.39,25709100
"Nov 25, 2025",474.07,479.15,464.89,476.99,475.90,28019800
"Nov 24, 2025",475.00,476.90,468.02,474.00,472.92,34421000
"Nov 21, 2025",478.50,478.92,468.27,472.12,471.04,31769200
"Nov 20, 2025",492.71,493.57,475.50,478.43,477.34,26802500
