"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",62.25,64.20,61.92,63.71,63.29,35457400
"Dec 30, 2025",61.30,61.30,60.64,61.19,60.79,13507800
"Dec 29, 2025",60.54,61.75,60.51,61.21,60.81,18062100
"Dec 26, 2025",60.00,60.93,59.86,60.93,60.53,22303600
"Dec 24, 2025",58.88,60.58,58.88,60.00,59.60,36073300
"Dec 23, 2025",57.18,57.60,56.99,57.34,56.96,23276700
"Dec 22, 2025",58.99,59.08,57.14,57.22,56.84,38695900
"Dec 19, 2025",59.20,60.38,58.22,58.71,58.32,108652700
"Dec 18, 2025",66.01,67.00,65.40,65.63,65.20,35650000
"Dec 17, 2025",66.56,66.83,65.62,65.69,65.26,13205500
"Dec 16, 2025",67.29,68.20,66.74,67.12,66.68,16376700
"Dec 15, 2025",67.41,68.35,66.69,67.78,67.33,15287500
"Dec 12, 2025",68.17,69.14,67.12,67.47,67.03,14829200
"Dec 11, 2025",65.83,67.82,65.56,67.74,67.29,16153500
"Dec 10, 2025",63.98,66.15,63.76,65.79,65.36,20302100
"Dec 09, 2025",63.51,63.95,62.97,63.33,62.91,9300200
"Dec 08, 2025",65.60,65.80,63.27,63.54,63.12,12867300
"Dec 05, 2025",65.70,66.08,64.88,65.86,65.43,10917900
"Dec 04, 2025",65.60,66.10,65.01,65.69,65.26,10619500
"Dec 03, 2025",65.08,66.66,64.98,65.65,65.22,12028300
"Dec 02, 2025",65.45,65.47,64.58,64.93,64.50,9051200
"Dec 01, 2025",63.77,65.99,63.58,65.39,64.96,12047300
"Nov 28, 2025",64.47,64.78,63.97,64.63,63.80,4941400
"Nov 26, 2025",63.50,64.87,62.97,64.33,63.50,13791000
"Nov 25, 2025",62.34,64.12,61.87,63.68,62.86,11527200
"Nov 24, 2025",62.51,63.07,61.93,61.93,61.13,16681700
"Nov 21, 2025",62.01,63.50,61.54,62.80,61.99,12476900
"Nov 20, 2025",62.95,63.83,61.41,61.43,60.64,13886600
"Nov 19, 2025",62.43,63.22,62.01,62.64,61.83,11732100
"Nov 18, 2025",62.40,62.76,61.68,62.49,61.68,14614600
"Nov 17, 2025",63.07,63.54,62.26,62.90,62.09,17064700
"Nov 14, 2025",64.94,65.06,63.75,64.17,63.34,17760100
"Nov 13, 2025",65.71,66.26,64.88,66.03,65.18,21923600
"Nov 12, 2025",64.10,65.19,63.74,64.20,63.37,14812200
"Nov 11, 2025",61.73,63.60,61.24,63.15,62.34,17646400
"Nov 10, 2025",61.75,62.09,60.49,60.80,60.02,13063100
"Nov 07, 2025",61.74,62.18,60.29,61.09,60.30,15504800
"Nov 06, 2025",61.88,62.48,61.67,61.89,61.09,15164600
"Nov 05, 2025",61.28,62.85,60.86,62.11,61.31,20979800
"Nov 04, 2025",62.42,62.59,61.12,61.23,60.44,13725400
"Nov 03, 2025",64.72,64.85,62.34,62.65,61.84,22633300
"Oct 31, 2025",65.00,65.25,64.25,64.59,63.76,17822500
"Oct 30, 2025",65.18,66.00,64.57,64.90,64.06,13895200
"Oct 29, 2025",67.01,67.19,64.95,65.35,64.51,15143100
"Oct 28, 2025",68.11,68.61,67.05,67.43,66.56,11262400
"Oct 27, 2025",70.04,70.44,68.26,68.59,67.71,9838100
"Oct 24, 2025",69.71,70.08,68.91,69.11,68.22,7102900
"Oct 23, 2025",69.09,69.89,68.74,69.68,68.78,9124900
"Oct 22, 2025",68.22,69.36,67.96,69.08,68.19,8096100
"Oct 21, 2025",67.75,69.29,67.41,68.36,67.48,9659200
"Oct 20, 2025",67.56,68.18,67.47,67.62,66.75,9670000
"Oct 17, 2025",66.63,67.77,66.32,67.37,66.50,10054000
"Oct 16, 2025",68.60,69.04,66.58,66.84,65.98,15349700
"Oct 15, 2025",68.58,69.53,68.13,68.46,67.58,13001500
"Oct 14, 2025",66.47,68.00,66.06,67.64,66.77,9483700
"Oct 13, 2025",65.70,67.52,65.55,67.38,66.51,13191200
"Oct 10, 2025",68.18,68.49,64.88,65.22,64.38,18806100
"Oct 09, 2025",69.55,69.66,67.89,68.06,67.18,13410900
"Oct 08, 2025",68.91,69.43,68.67,69.09,68.20,13051800
"Oct 07, 2025",71.23,71.58,68.90,68.91,68.02,17368000
"Oct 06, 2025",72.02,72.39,71.01,71.17,70.25,14039600
"Oct 03, 2025",74.78,74.78,71.92,71.93,71.00,18794900
"Oct 02, 2025",75.00,76.97,73.88,74.57,73.61,26254400
"Oct 01, 2025",74.35,74.69,71.61,74.20,73.24,57921900
"Sep 30, 2025",70.07,70.21,68.82,69.73,68.83,40567700
"Sep 29, 2025",69.77,69.96,68.74,69.55,68.65,18479300
"Sep 26, 2025",69.38,69.44,68.03,69.31,68.42,15627600
"Sep 25, 2025",71.16,71.16,69.05,69.24,68.35,13075300
"Sep 24, 2025",70.67,71.53,70.45,71.22,70.30,10024500
"Sep 23, 2025",71.57,72.42,70.73,70.93,70.02,10432400
"Sep 22, 2025",70.79,72.49,70.43,71.28,70.36,12336300
"Sep 19, 2025",72.01,72.25,70.74,70.89,69.98,33415600
"Sep 18, 2025",73.44,73.60,71.63,72.10,71.17,14918400
"Sep 17, 2025",73.07,73.32,71.61,72.31,71.38,11108700
"Sep 16, 2025",72.80,73.38,72.09,72.75,71.81,8813600
"Sep 15, 2025",73.18,73.21,72.58,73.03,72.09,10323800
"Sep 12, 2025",74.24,74.28,71.93,73.00,72.06,11806000
"Sep 11, 2025",74.41,75.53,74.01,74.33,73.37,9803400
"Sep 10, 2025",75.25,75.46,73.33,74.25,73.29,11359300
"Sep 09, 2025",73.99,74.55,73.05,73.60,72.65,8740200
"Sep 08, 2025",74.26,74.58,73.71,74.15,73.19,13793300
"Sep 05, 2025",74.80,75.41,73.63,73.91,72.96,13758400
"Sep 04, 2025",74.75,75.77,74.51,75.35,74.38,11096200
"Sep 03, 2025",74.40,75.18,73.91,74.74,73.78,8300100
"Sep 02, 2025",75.64,76.05,74.00,74.29,73.33,15078700
"Aug 29, 2025",77.75,79.13,77.12,77.37,75.98,14208800
"Aug 28, 2025",78.58,78.66,77.72,77.92,76.52,7478600
"Aug 27, 2025",78.96,79.51,77.65,78.06,76.65,12636700
"Aug 26, 2025",79.00,79.48,78.38,78.65,77.23,6874800
"Aug 25, 2025",78.47,80.17,78.39,79.17,77.75,12488900
"Aug 22, 2025",76.54,79.14,76.25,78.38,76.97,10985900
"Aug 21, 2025",75.70,76.23,75.13,76.18,74.81,6354900
"Aug 20, 2025",76.69,77.56,76.16,76.26,74.89,6282600
"Aug 19, 2025",78.20,78.79,76.68,76.88,75.50,7684800
"Aug 18, 2025",77.11,78.26,76.85,77.43,76.04,9069100
"Aug 15, 2025",76.74,77.50,76.16,76.97,75.58,9767700
"Aug 14, 2025",75.91,76.60,75.35,76.39,75.02,7990500
"Aug 13, 2025",75.48,77.69,75.19,77.20,75.81,13472600
"Aug 12, 2025",74.72,75.72,74.34,74.90,73.55,6397700
"Aug 11, 2025",74.32,74.79,73.05,74.02,72.69,6985700
"Aug 08, 2025",74.20,74.96,73.39,74.19,72.85,6739000
"Aug 07, 2025",76.32,76.35,74.00,74.35,73.01,8717600
"Aug 06, 2025",74.47,75.98,74.25,75.48,74.12,7579800
"Aug 05, 2025",74.91,75.71,74.24,74.38,73.04,6533800
"Aug 04, 2025",75.03,75.26,74.16,74.82,73.47,8839000
"Aug 01, 2025",73.44,74.70,72.53,74.62,73.28,11911600
"Jul 31, 2025",76.35,76.40,74.31,74.69,73.35,16700000
"Jul 30, 2025",77.78,78.30,75.96,76.68,75.30,14601700
"Jul 29, 2025",78.76,79.37,77.76,78.33,76.92,12885500
"Jul 28, 2025",79.00,79.99,77.56,79.24,77.81,22631100
"Jul 25, 2025",75.91,76.57,75.53,76.27,74.90,7208400
"Jul 24, 2025",76.51,77.54,75.41,75.42,74.06,10037800
