"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",189.57,190.56,186.49,186.50,186.49,120100500
"Dec 30, 2025",188.24,188.99,186.93,187.54,187.53,97687300
"Dec 29, 2025",187.71,188.76,185.91,188.22,188.21,120006100
"Dec 26, 2025",189.92,192.69,188.00,190.53,190.52,139740300
"Dec 24, 2025",187.94,188.91,186.59,188.61,188.60,65528500
"Dec 23, 2025",182.97,189.33,182.90,189.21,189.20,174873600
"Dec 22, 2025",183.92,184.16,182.35,183.69,183.68,129064400
"Dec 19, 2025",176.67,181.45,176.34,180.99,180.98,324925900
"Dec 18, 2025",174.53,176.15,171.82,174.14,174.13,176096000
"Dec 17, 2025",176.10,176.13,170.31,170.94,170.93,222775500
"Dec 16, 2025",176.26,178.49,174.90,177.72,177.71,148588100
"Dec 15, 2025",177.94,178.42,175.03,176.29,176.28,164775600
"Dec 12, 2025",181.11,182.82,174.62,175.02,175.01,204274900
"Dec 11, 2025",180.28,181.32,176.62,180.93,180.92,182136600
"Dec 10, 2025",184.97,185.48,182.04,183.78,183.77,162785400
"Dec 09, 2025",185.56,185.72,183.32,184.97,184.96,144719700
"Dec 08, 2025",182.64,188.00,182.40,185.55,185.54,204378100
"Dec 05, 2025",183.89,184.66,180.91,182.41,182.40,143971100
"Dec 04, 2025",181.62,184.52,179.96,183.38,183.37,167364900
"Dec 03, 2025",181.08,182.45,179.11,179.59,179.57,165138000
"Dec 02, 2025",181.76,185.66,180.00,181.46,181.44,182632200
"Dec 01, 2025",174.76,180.30,173.68,179.92,179.90,188131000
"Nov 28, 2025",179.01,179.29,176.50,177.00,176.98,121332800
"Nov 26, 2025",181.63,182.91,178.24,180.26,180.24,183852000
"Nov 25, 2025",174.91,178.16,169.55,177.82,177.80,320600300
"Nov 24, 2025",179.49,183.50,176.48,182.55,182.53,256618300
"Nov 21, 2025",181.24,184.56,172.93,178.88,178.86,346926200
"Nov 20, 2025",195.95,196.00,179.85,180.64,180.62,343504800
"Nov 19, 2025",184.79,187.86,182.83,186.52,186.50,247246400
"Nov 18, 2025",183.38,184.80,179.65,181.36,181.34,213598900
"Nov 17, 2025",185.97,189.00,184.32,186.60,186.58,173628900
"Nov 14, 2025",182.86,191.01,180.58,190.17,190.15,186591900
"Nov 13, 2025",191.05,191.44,183.85,186.86,186.84,207423100
"Nov 12, 2025",195.72,195.89,191.13,193.80,193.78,154935300
"Nov 11, 2025",195.16,195.42,191.30,193.16,193.14,176483300
"Nov 10, 2025",195.11,199.94,193.79,199.05,199.03,198897100
"Nov 07, 2025",184.90,188.32,178.91,188.15,188.13,264942300
"Nov 06, 2025",196.42,197.62,186.38,188.08,188.06,223029800
"Nov 05, 2025",198.77,202.92,194.65,195.21,195.19,171350300
"Nov 04, 2025",203.00,203.97,197.93,198.69,198.67,188919300
"Nov 03, 2025",208.08,211.34,205.56,206.88,206.86,180267300
"Oct 31, 2025",206.45,207.97,202.07,202.49,202.47,179802200
"Oct 30, 2025",205.15,206.16,201.41,202.89,202.87,178864400
"Oct 29, 2025",207.98,212.19,204.78,207.04,207.02,308829600
"Oct 28, 2025",193.05,203.15,191.91,201.03,201.01,297986200
"Oct 27, 2025",189.99,192.00,188.43,191.49,191.47,153452700
"Oct 24, 2025",183.84,187.47,183.50,186.26,186.24,131296700
"Oct 23, 2025",180.42,183.03,179.79,182.16,182.14,111363700
"Oct 22, 2025",181.14,183.44,176.76,180.28,180.26,162249600
"Oct 21, 2025",182.79,182.79,179.80,181.16,181.14,124240200
"Oct 20, 2025",183.13,185.20,181.73,182.64,182.62,128544700
"Oct 17, 2025",180.18,184.10,179.75,183.22,183.20,173135200
"Oct 16, 2025",182.23,183.28,179.77,181.81,181.79,179723300
"Oct 15, 2025",184.80,184.87,177.29,179.83,179.81,214450500
"Oct 14, 2025",184.77,184.80,179.70,180.03,180.01,205641400
"Oct 13, 2025",187.97,190.11,185.96,188.32,188.30,153482800
"Oct 10, 2025",193.51,195.62,182.05,183.16,183.14,268774400
"Oct 09, 2025",192.23,195.30,191.06,192.57,192.55,182997200
"Oct 08, 2025",186.57,189.60,186.54,189.11,189.09,130168900
"Oct 07, 2025",186.23,189.06,184.00,185.04,185.02,140088000
"Oct 06, 2025",185.50,187.23,183.33,185.54,185.52,157678100
"Oct 03, 2025",189.19,190.36,185.38,187.62,187.60,137596900
"Oct 02, 2025",189.60,191.05,188.06,188.89,188.87,136805800
"Oct 01, 2025",185.24,188.14,183.90,187.24,187.22,173844900
"Sep 30, 2025",182.08,187.35,181.48,186.58,186.56,236981000
"Sep 29, 2025",180.43,184.00,180.32,181.85,181.83,193063500
"Sep 26, 2025",178.17,179.77,174.93,178.19,178.17,148573700
"Sep 25, 2025",174.48,180.26,173.13,177.69,177.67,191586700
"Sep 24, 2025",179.77,179.78,175.40,176.97,176.95,143564100
"Sep 23, 2025",181.97,182.42,176.21,178.43,178.41,192559600
