"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",144.00,144.14,143.23,143.31,142.30,5293200
"Dec 30, 2025",144.29,144.46,143.57,144.05,143.03,6006400
"Dec 29, 2025",144.80,145.07,143.95,144.57,143.55,7662100
"Dec 26, 2025",144.31,145.64,144.31,144.74,143.72,4711500
"Dec 24, 2025",142.90,144.74,142.83,144.49,143.47,3259200
"Dec 23, 2025",142.49,143.73,142.08,143.18,142.17,9541600
"Dec 22, 2025",143.71,144.40,142.42,142.69,141.68,11731400
"Dec 19, 2025",145.51,146.05,143.94,144.46,143.44,19345600
"Dec 18, 2025",146.62,147.50,145.35,145.52,144.49,12239900
"Dec 17, 2025",146.69,148.45,146.45,147.81,146.77,9833300
"Dec 16, 2025",146.10,146.54,144.65,145.21,144.19,10251700
"Dec 15, 2025",143.27,145.32,143.20,145.13,144.11,13877700
"Dec 12, 2025",141.00,143.11,140.84,142.84,141.83,10268800
"Dec 11, 2025",141.00,141.84,140.36,140.76,139.77,11798000
"Dec 10, 2025",139.65,141.28,139.54,139.82,138.83,13650400
"Dec 09, 2025",139.19,140.88,139.00,139.63,138.65,10375700
"Dec 08, 2025",142.91,142.91,138.14,138.34,137.36,17507500
"Dec 05, 2025",145.16,145.63,143.25,143.45,142.44,12791700
"Dec 04, 2025",146.67,147.42,144.50,145.36,144.34,10479300
"Dec 03, 2025",145.92,148.29,145.86,146.71,145.68,9125300
"Dec 02, 2025",145.29,146.19,142.51,145.86,144.83,16376800
"Dec 01, 2025",148.10,148.89,147.35,147.44,146.40,8240700
"Nov 28, 2025",147.80,148.71,147.18,148.16,147.12,4707200
"Nov 26, 2025",147.92,148.97,147.61,148.25,147.20,9238500
"Nov 25, 2025",147.32,148.65,147.22,148.49,147.44,10477700
"Nov 24, 2025",150.10,150.41,146.54,146.98,145.94,13846900
"Nov 21, 2025",148.38,151.50,148.30,150.92,149.86,12018000
"Nov 20, 2025",146.64,148.66,146.13,148.19,147.15,9021300
"Nov 19, 2025",146.96,147.54,145.86,146.99,145.95,6367000
"Nov 18, 2025",146.33,147.39,145.51,146.99,145.95,10735200
"Nov 17, 2025",147.75,147.98,145.01,145.82,144.79,9902300
"Nov 14, 2025",149.10,149.38,147.61,147.67,146.63,9150800
"Nov 13, 2025",148.18,149.00,147.64,147.96,146.92,7566800
"Nov 12, 2025",148.53,149.15,147.51,148.01,146.97,7851100
"Nov 11, 2025",145.96,148.65,145.67,148.54,147.49,7332500
"Nov 10, 2025",146.38,146.62,144.09,145.50,144.47,10208100
"Nov 07, 2025",146.95,147.94,146.00,146.98,145.94,8500100
"Nov 06, 2025",145.88,146.68,144.46,146.13,145.10,10024500
"Nov 05, 2025",146.87,147.42,145.65,145.79,144.76,11199900
"Nov 04, 2025",148.60,149.50,146.25,147.17,146.13,9295400
"Nov 03, 2025",150.10,150.22,147.77,148.02,146.98,8946400
"Oct 31, 2025",148.71,151.10,148.53,150.37,149.31,7930300
"Oct 30, 2025",149.47,150.80,149.34,149.58,148.53,6760700
"Oct 29, 2025",150.66,150.97,148.47,148.77,147.72,7405500
"Oct 28, 2025",151.12,153.17,150.62,151.37,150.30,5819300
"Oct 27, 2025",151.61,151.76,150.13,151.74,150.67,7775300
"Oct 24, 2025",156.40,157.40,151.53,152.49,151.41,11968500
"Oct 23, 2025",152.35,153.30,150.58,152.21,150.09,8205400
