"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",326.27,326.97,323.93,324.03,323.32,830200
"Dec 30, 2025",323.23,327.07,321.02,326.16,325.44,913000
"Dec 29, 2025",325.31,326.80,323.91,325.23,324.51,1217400
"Dec 26, 2025",325.38,326.42,323.27,325.44,324.72,884900
"Dec 24, 2025",322.50,325.50,322.46,325.35,324.63,708600
"Dec 23, 2025",325.00,325.00,321.27,324.05,323.34,1454400
"Dec 22, 2025",321.43,326.13,320.69,323.84,323.13,1301600
"Dec 19, 2025",325.14,327.45,319.49,320.86,320.15,4367200
"Dec 18, 2025",331.51,335.30,325.18,325.36,324.64,2348000
"Dec 17, 2025",325.32,329.48,323.88,327.95,327.23,1569000
"Dec 16, 2025",328.00,330.40,325.11,327.87,327.15,1485100
"Dec 15, 2025",331.22,331.34,326.78,328.45,327.73,1623600
"Dec 12, 2025",330.05,331.42,326.83,328.69,327.96,1633000
"Dec 11, 2025",328.66,332.28,326.96,329.30,328.57,1899700
"Dec 10, 2025",322.19,327.06,320.11,326.27,325.55,2160500
"Dec 09, 2025",326.53,327.55,320.95,321.14,320.43,1685000
"Dec 08, 2025",331.47,333.09,326.64,327.13,326.41,1376300
"Dec 05, 2025",335.37,336.01,332.44,333.11,332.38,2011700
"Dec 04, 2025",339.25,340.66,334.84,335.37,334.63,1368400
"Dec 03, 2025",339.06,342.08,337.31,339.24,338.49,1282000
"Dec 02, 2025",343.31,343.31,335.85,337.49,336.75,1389400
"Dec 01, 2025",339.88,344.80,339.11,341.49,340.74,1662600
"Nov 28, 2025",342.45,344.69,342.25,343.69,342.93,566800
"Nov 26, 2025",341.26,344.84,339.97,343.39,342.63,1174300
"Nov 25, 2025",338.81,344.14,337.13,342.65,341.89,1452400
"Nov 24, 2025",337.47,338.90,333.59,338.00,337.25,2306500
"Nov 21, 2025",329.49,342.59,329.46,337.06,336.32,2392500
"Nov 20, 2025",331.04,334.44,327.47,328.01,327.29,2881900
"Nov 19, 2025",328.02,330.16,324.62,329.78,329.05,2050200
"Nov 18, 2025",322.92,327.05,318.22,323.83,323.12,2255300
"Nov 17, 2025",331.40,333.21,326.72,326.81,326.09,1991300
"Nov 14, 2025",337.17,337.92,331.53,332.18,331.45,2317500
"Nov 13, 2025",342.02,345.95,338.51,338.84,337.30,2322900
"Nov 12, 2025",345.58,348.38,344.29,344.72,343.16,1516300
"Nov 11, 2025",343.48,346.53,341.76,345.08,343.52,2216600
"Nov 10, 2025",338.86,343.50,335.99,342.55,341.00,1617100
"Nov 07, 2025",334.23,341.34,332.50,340.16,338.62,1631900
"Nov 06, 2025",335.40,336.98,332.83,333.66,332.15,1989900
"Nov 05, 2025",342.20,344.10,334.25,335.77,334.25,2543600
"Nov 04, 2025",342.09,346.50,336.79,342.98,341.43,2221000
"Nov 03, 2025",340.97,346.11,339.19,345.64,344.07,2386600
"Oct 31, 2025",345.18,347.20,343.43,344.94,343.38,1558200
"Oct 30, 2025",347.09,353.92,345.11,347.90,346.32,1609900
"Oct 29, 2025",351.89,353.45,344.99,345.73,344.16,2037200
"Oct 28, 2025",356.43,368.62,345.97,354.45,352.84,5420800
"Oct 27, 2025",335.70,337.33,333.17,336.08,334.56,3088700
"Oct 24, 2025",334.50,337.68,332.30,334.00,332.49,2375300
"Oct 23, 2025",333.70,335.32,329.95,331.75,330.25,2346400
"Oct 22, 2025",337.78,339.06,333.14,333.81,332.30,1797300
"Oct 21, 2025",331.24,340.91,330.62,338.44,336.91,2268400
"Oct 20, 2025",332.18,333.75,328.98,331.24,329.74,3061200
"Oct 17, 2025",332.26,333.34,328.27,330.74,329.24,2203400
"Oct 16, 2025",334.50,334.50,329.59,331.46,329.96,1913700
"Oct 15, 2025",334.98,336.89,331.71,332.73,331.22,2245800
"Oct 14, 2025",329.78,337.04,329.25,335.27,333.75,3393500
"Oct 13, 2025",331.86,333.98,329.45,332.16,330.65,1697700
"Oct 10, 2025",335.99,337.86,331.72,332.81,331.30,2419300
"Oct 09, 2025",337.50,337.50,330.79,333.22,331.71,2228600
"Oct 08, 2025",337.05,338.98,335.52,337.57,336.04,1549000
"Oct 07, 2025",336.84,337.46,334.73,337.00,335.47,1499800
"Oct 06, 2025",346.24,346.24,336.79,336.91,335.38,2032100
"Oct 03, 2025",343.80,349.68,342.63,346.60,345.03,1188100
"Oct 02, 2025",340.03,344.71,339.17,343.90,342.34,1564100
"Oct 01, 2025",344.66,346.05,340.32,341.22,339.67,1413900
"Sep 30, 2025",342.77,346.77,341.55,346.26,344.69,1332900
"Sep 29, 2025",342.54,343.41,340.59,342.92,341.37,1642100
"Sep 26, 2025",341.31,343.22,340.00,341.91,340.36,1039400
"Sep 25, 2025",341.12,343.01,338.99,340.10,338.56,1582400
