"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",291.43,292.40,289.92,290.06,289.01,711000
"Dec 30, 2025",291.35,292.80,290.66,292.38,291.32,683600
"Dec 29, 2025",292.19,293.34,291.20,291.93,290.87,842300
"Dec 26, 2025",293.81,294.16,291.30,292.12,291.06,470800
"Dec 24, 2025",291.99,294.67,291.74,293.84,292.77,455200
"Dec 23, 2025",291.79,293.97,290.94,292.46,291.40,989500
"Dec 22, 2025",291.77,293.54,290.85,291.64,290.58,1158100
"Dec 19, 2025",293.65,295.10,291.40,292.92,291.86,2781200
"Dec 18, 2025",290.61,294.34,288.85,293.65,292.58,1342400
"Dec 17, 2025",289.39,291.39,287.78,291.27,290.21,1797800
"Dec 16, 2025",291.56,292.53,288.56,289.61,288.56,1725500
"Dec 15, 2025",286.46,290.89,285.83,290.59,289.54,2074900
"Dec 12, 2025",284.53,285.48,283.34,285.31,284.27,1617300
"Dec 11, 2025",279.50,284.60,278.77,282.88,281.85,2090100
"Dec 10, 2025",278.55,281.05,277.40,278.35,277.34,1417000
"Dec 09, 2025",281.12,283.64,279.04,279.16,277.05,1831600
"Dec 08, 2025",280.02,281.46,277.52,279.87,277.76,1450700
"Dec 05, 2025",282.07,282.93,279.64,280.89,278.77,1287300
"Dec 04, 2025",283.95,285.82,282.47,282.85,280.71,1282700
"Dec 03, 2025",289.57,290.25,283.32,284.27,282.12,1813900
"Dec 02, 2025",290.41,290.95,287.50,288.52,286.34,1314400
"Dec 01, 2025",292.52,294.35,290.02,290.50,288.31,1019300
"Nov 28, 2025",295.71,296.54,292.69,292.86,290.65,566800
"Nov 26, 2025",294.07,296.07,293.77,294.52,292.30,1094700
"Nov 25, 2025",293.01,296.85,291.37,293.70,291.48,1708600
"Nov 24, 2025",290.00,293.00,287.99,290.84,288.64,1825700
"Nov 21, 2025",289.64,292.50,288.40,290.07,287.88,1781300
"Nov 20, 2025",286.74,289.87,286.02,287.85,285.68,1296200
"Nov 19, 2025",286.57,288.19,283.46,285.47,283.31,1116100
"Nov 18, 2025",284.26,289.29,283.59,286.85,284.68,1199900
"Nov 17, 2025",288.25,289.59,284.03,284.51,282.36,1343200
"Nov 14, 2025",288.54,290.36,284.83,287.29,285.12,1437300
"Nov 13, 2025",286.24,290.62,284.80,287.42,285.25,1595100
