"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",332.32,333.33,329.88,330.11,327.56,4285200
"Dec 30, 2025",329.73,336.15,329.51,332.16,329.60,4432500
"Dec 29, 2025",330.89,334.25,328.28,328.94,326.40,4346800
"Dec 26, 2025",327.20,331.89,326.26,331.83,329.27,4359300
"Dec 24, 2025",325.20,328.99,324.13,327.58,325.05,2842700
"Dec 23, 2025",324.00,327.80,323.76,324.80,322.29,4463300
"Dec 22, 2025",322.90,329.80,321.65,325.16,322.65,7872400
"Dec 19, 2025",328.06,334.60,326.07,327.42,324.89,10553000
"Dec 18, 2025",328.93,330.18,324.57,328.14,325.61,6354900
"Dec 17, 2025",333.61,335.52,330.48,331.63,329.07,4685600
"Dec 16, 2025",340.42,340.99,331.03,334.20,331.62,6334000
"Dec 15, 2025",340.99,344.96,337.00,341.10,338.47,6447200
"Dec 12, 2025",337.50,344.98,337.37,341.84,339.20,7979000
"Dec 11, 2025",330.37,339.25,328.76,336.73,334.13,7513200
"Dec 10, 2025",322.75,328.73,319.60,328.37,325.84,5910500
"Dec 09, 2025",323.16,326.36,322.48,323.60,321.10,4628400
"Dec 08, 2025",328.70,329.10,322.83,323.62,321.12,4782800
"Dec 05, 2025",335.00,335.71,328.51,330.91,326.16,5906000
"Dec 04, 2025",339.40,341.26,328.72,333.49,328.71,8061600
"Dec 03, 2025",326.00,341.41,325.01,339.71,334.84,9770000
"Dec 02, 2025",323.37,328.70,322.80,324.54,319.89,7978100
"Dec 01, 2025",327.16,330.06,323.03,323.21,318.57,6154600
"Nov 28, 2025",331.67,332.06,328.89,329.77,325.04,2464500
"Nov 26, 2025",326.59,335.19,325.89,329.71,324.98,5504200
"Nov 25, 2025",321.12,328.00,320.90,326.28,321.60,6149100
"Nov 24, 2025",324.53,325.85,317.62,319.05,314.47,10773800
"Nov 21, 2025",311.91,323.84,311.44,319.97,315.38,8406300
"Nov 20, 2025",310.81,314.75,310.00,311.54,307.07,7337600
"Nov 19, 2025",313.93,315.00,304.53,309.09,304.66,8181100
"Nov 18, 2025",317.01,317.50,308.77,313.58,309.08,9182100
"Nov 17, 2025",320.60,327.88,319.43,320.52,315.92,6485400
"Nov 14, 2025",326.95,328.21,320.49,321.86,317.24,8676500
"Nov 13, 2025",338.35,339.03,331.29,332.52,327.75,7788700
"Nov 12, 2025",328.45,343.17,327.08,339.06,334.20,10403300
"Nov 11, 2025",323.30,327.86,319.88,327.45,322.75,7157800
"Nov 10, 2025",319.99,324.25,317.17,321.58,316.97,9283800
"Nov 07, 2025",319.66,324.55,314.16,324.21,319.56,9402900
"Nov 06, 2025",328.92,332.37,321.45,321.56,316.95,7922100
"Nov 05, 2025",326.30,330.21,324.22,327.74,323.04,9697100
"Nov 04, 2025",327.63,336.50,327.20,330.83,326.09,9646600
"Nov 03, 2025",339.13,340.70,326.60,333.79,329.00,11181400
"Oct 31, 2025",344.39,346.28,337.12,341.56,336.66,8390800
"Oct 30, 2025",347.52,354.54,343.60,344.75,339.81,11441900
"Oct 29, 2025",364.28,366.15,353.88,355.26,350.17,11874900
"Oct 28, 2025",380.68,381.00,358.63,367.84,362.56,18858700
"Oct 27, 2025",363.50,366.22,361.40,365.98,360.73,7766400
"Oct 24, 2025",361.37,365.42,360.03,362.50,357.30,5462100
"Oct 23, 2025",355.58,362.28,353.64,360.45,355.28,5756700
"Oct 22, 2025",363.96,364.00,358.00,361.49,356.31,7833000
"Oct 21, 2025",365.14,371.05,361.50,365.37,360.13,6885300
"Oct 20, 2025",358.54,365.57,357.51,364.48,359.25,5996500
"Oct 17, 2025",351.00,358.39,350.83,356.60,351.49,8608400
"Oct 16, 2025",361.84,362.00,354.40,356.67,351.55,5872100
"Oct 15, 2025",359.39,364.22,355.85,361.15,355.97,6579600
"Oct 14, 2025",354.95,362.33,353.40,359.93,354.77,5974800
"Oct 13, 2025",354.74,359.16,353.32,358.66,353.52,5659400
"Oct 10, 2025",369.40,369.40,352.51,354.50,349.42,13141900
"Oct 09, 2025",372.52,376.22,366.08,367.69,362.42,8759800
"Oct 08, 2025",366.93,374.63,365.80,369.92,364.61,9438300
"Oct 07, 2025",359.41,364.72,358.06,363.66,358.44,7236200
"Oct 06, 2025",361.03,362.52,357.11,358.77,353.62,7181700
"Oct 03, 2025",357.25,368.00,356.61,360.20,355.03,13494800
"Oct 02, 2025",347.29,355.08,344.65,353.72,348.65,8564200
"Oct 01, 2025",343.90,348.70,341.63,348.30,343.30,8825500
"Sep 30, 2025",343.75,349.32,342.33,345.30,340.35,7429700
"Sep 29, 2025",343.98,345.55,341.45,345.18,340.23,6878900
"Sep 26, 2025",347.93,349.97,341.30,344.08,339.15,6774700
"Sep 25, 2025",348.90,350.19,343.60,345.56,340.60,8104900
"Sep 24, 2025",350.20,354.50,347.84,351.81,346.76,9016300
"Sep 23, 2025",341.00,352.70,339.96,347.69,342.70,12504100
"Sep 22, 2025",334.46,342.48,332.60,341.30,336.41,8903700
"Sep 19, 2025",336.50,340.96,333.84,336.69,331.86,13656800
"Sep 18, 2025",343.53,344.93,334.12,334.82,330.02,11255600
"Sep 17, 2025",337.69,343.00,337.69,341.61,336.71,8467700
"Sep 16, 2025",347.50,349.04,338.32,339.78,334.91,12695800
"Sep 15, 2025",351.26,351.71,342.53,347.89,342.90,11035900
"Sep 12, 2025",355.90,362.31,352.46,352.51,345.28,14016200
"Sep 11, 2025",349.00,360.98,345.84,353.61,346.35,18943500
"Sep 10, 2025",345.56,348.57,341.40,346.78,339.66,17804300
"Sep 09, 2025",332.50,351.71,327.16,347.92,340.78,46408900
"Sep 08, 2025",319.71,321.65,313.80,320.25,313.68,18438600
"Sep 05, 2025",310.44,317.94,308.20,315.39,308.92,14126700
"Sep 04, 2025",306.10,311.91,304.10,310.38,304.01,7725700
"Sep 03, 2025",308.11,309.59,303.70,307.88,301.56,9654600
"Sep 02, 2025",308.31,312.89,307.30,308.80,302.46,10957100
"Aug 29, 2025",302.30,310.00,300.91,309.87,303.51,12065400
"Aug 28, 2025",304.25,304.47,299.40,302.29,296.09,11235000
"Aug 27, 2025",300.54,305.97,300.50,303.88,297.64,9982800
"Aug 26, 2025",304.31,308.96,294.20,300.43,294.26,16303200
"Aug 25, 2025",308.49,308.87,302.73,304.86,298.60,8917100
"Aug 22, 2025",306.10,310.68,304.58,307.42,301.11,14930000
"Aug 21, 2025",302.29,306.57,297.80,303.35,297.12,13359000
"Aug 20, 2025",306.40,307.20,295.70,299.84,293.69,16679000
"Aug 19, 2025",308.90,310.50,299.21,304.24,298.00,22348600
"Aug 18, 2025",313.18,316.40,307.42,308.49,302.16,39600500
"Aug 15, 2025",301.71,310.30,294.71,304.01,297.77,68198500
"Aug 14, 2025",272.10,273.85,267.00,271.49,265.92,25011100
"Aug 13, 2025",264.39,272.19,262.89,271.81,266.23,19480300
"Aug 12, 2025",254.02,262.88,253.67,261.57,256.20,12171800
"Aug 11, 2025",253.87,258.40,252.14,252.37,247.19,11779500
"Aug 08, 2025",244.79,251.08,244.37,250.89,245.74,10185700
"Aug 07, 2025",246.42,248.75,239.50,244.67,239.65,11369900
"Aug 06, 2025",250.64,253.16,245.31,245.78,240.74,12946400
"Aug 05, 2025",241.16,252.07,240.05,251.00,245.85,23795900
"Aug 04, 2025",238.24,242.25,236.95,240.98,236.03,17427900
"Aug 01, 2025",250.61,251.49,234.60,237.77,232.89,39989200
"Jul 31, 2025",261.40,261.40,247.75,249.56,244.44,29606900
"Jul 30, 2025",264.80,266.63,258.12,266.04,260.58,22371800
"Jul 29, 2025",265.70,272.91,260.55,261.07,255.71,41706000
"Jul 28, 2025",283.50,285.00,279.69,282.12,276.33,15779400
"Jul 25, 2025",281.00,286.14,279.94,281.06,275.29,16486600
"Jul 24, 2025",283.10,289.21,278.22,278.58,272.86,22585200
"Jul 23, 2025",287.50,292.64,284.95,292.51,286.51,13111100
"Jul 22, 2025",282.63,287.11,282.00,285.13,279.28,14600300
"Jul 21, 2025",284.64,286.50,281.20,282.14,276.35,10319200
"Jul 18, 2025",287.89,288.07,280.81,282.65,276.85,14979700
"Jul 17, 2025",292.33,293.00,283.83,288.07,282.16,14792700
"Jul 16, 2025",292.55,295.99,290.75,292.49,286.49,9714000
"Jul 15, 2025",299.71,300.68,291.03,291.71,285.72,16019000
"Jul 14, 2025",301.64,304.04,299.00,300.58,294.41,10681400
"Jul 11, 2025",300.02,304.12,298.00,304.10,297.86,9808200
"Jul 10, 2025",303.06,304.93,296.60,299.51,293.36,11355600
"Jul 09, 2025",303.19,303.60,298.75,302.91,296.69,12816700
"Jul 08, 2025",304.23,308.30,303.80,307.70,301.39,9613800
"Jul 07, 2025",308.00,308.61,301.20,303.71,297.48,9031200
"Jul 03, 2025",309.84,312.25,308.23,308.55,302.22,6161100
"Jul 02, 2025",320.74,322.42,306.43,307.56,301.25,18177200
"Jul 01, 2025",311.97,326.55,311.08,326.14,319.45,17865500
