"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",40.71,40.96,40.67,40.73,39.44,17454800
"Dec 30, 2025",40.48,40.77,40.42,40.70,39.41,15581300
"Dec 29, 2025",40.51,40.70,40.38,40.48,39.20,16846700
"Dec 26, 2025",40.27,40.54,40.27,40.48,39.20,11875400
"Dec 24, 2025",39.93,40.34,39.89,40.32,39.05,7949500
"Dec 23, 2025",40.00,40.20,39.87,39.92,38.66,19761800
"Dec 22, 2025",39.72,40.06,39.66,39.98,38.72,21111600
"Dec 19, 2025",40.14,40.24,39.81,39.82,38.56,53345100
"Dec 18, 2025",40.78,40.91,40.39,40.41,39.13,18822600
"Dec 17, 2025",40.78,40.90,40.47,40.88,39.59,22316100
"Dec 16, 2025",40.90,41.00,40.65,40.75,39.46,22709800
"Dec 15, 2025",40.90,41.31,40.80,40.80,39.51,34725800
"Dec 12, 2025",40.22,40.98,40.10,40.89,39.60,20600000
"Dec 11, 2025",40.00,40.55,39.97,40.22,38.95,21895000
"Dec 10, 2025",40.20,40.26,39.68,39.92,38.66,40053400
"Dec 09, 2025",41.23,41.48,40.11,40.14,38.87,31770600
"Dec 08, 2025",41.75,41.75,40.92,41.30,39.99,22932000
"Dec 05, 2025",41.26,42.06,41.24,41.69,40.37,27802700
"Dec 04, 2025",40.86,41.35,40.67,41.26,39.96,28382300
"Dec 03, 2025",40.74,41.32,40.66,40.67,39.38,19910700
"Dec 02, 2025",40.75,40.76,40.36,40.61,39.33,23194100
"Dec 01, 2025",40.96,41.09,40.68,40.74,39.45,19655900
"Nov 28, 2025",40.82,41.13,40.71,41.11,39.81,9926300
"Nov 26, 2025",40.59,40.97,40.56,40.88,39.59,15186100
"Nov 25, 2025",40.59,40.80,40.41,40.59,39.31,24375300
"Nov 24, 2025",41.35,41.46,40.15,40.21,38.94,44805100
"Nov 21, 2025",40.67,41.61,40.42,41.23,39.93,32037600
"Nov 20, 2025",41.15,41.44,40.65,40.76,39.47,32173600
"Nov 19, 2025",41.50,41.61,40.94,41.19,39.89,21895000
"Nov 18, 2025",41.03,41.50,40.99,41.48,40.17,24067500
"Nov 17, 2025",41.06,41.28,40.88,41.01,39.71,21620800
"Nov 14, 2025",41.32,41.42,40.65,41.06,39.76,29368500
"Nov 13, 2025",40.84,41.73,40.74,41.11,39.81,30487400
"Nov 12, 2025",40.78,40.96,40.74,40.80,39.51,17834000
"Nov 11, 2025",40.05,40.78,40.04,40.70,39.41,25360900
"Nov 10, 2025",39.90,40.15,39.57,39.85,38.59,22414400
"Nov 07, 2025",39.94,40.32,39.66,40.03,38.76,28389500
"Nov 06, 2025",39.52,39.89,39.38,39.82,38.56,30949700
"Nov 05, 2025",39.33,39.77,39.26,39.69,38.44,22947100
"Nov 04, 2025",39.57,39.67,39.17,39.32,38.08,33632800
"Nov 03, 2025",39.51,39.61,38.84,39.47,38.22,39851100
"Oct 31, 2025",38.98,39.96,38.78,39.74,38.48,52181800
"Oct 30, 2025",40.02,40.19,38.77,38.96,37.73,47371000
"Oct 29, 2025",40.93,41.32,39.67,40.21,38.94,53730200
"Oct 28, 2025",39.15,39.52,38.95,39.32,38.08,30719200
"Oct 27, 2025",38.81,39.29,38.77,39.23,37.99,27487200
"Oct 24, 2025",38.60,38.92,38.54,38.82,37.59,27485700
"Oct 23, 2025",39.79,39.86,38.39,38.40,37.19,52663600
"Oct 22, 2025",39.57,40.21,38.92,39.80,38.54,31009500
"Oct 21, 2025",40.63,40.78,40.13,40.30,39.03,29881700
"Oct 20, 2025",40.70,40.87,40.35,40.80,39.51,28079200
"Oct 17, 2025",40.50,40.66,40.21,40.55,39.27,20523500
"Oct 16, 2025",40.42,40.57,40.18,40.36,39.08,16751200
"Oct 15, 2025",40.42,40.56,40.24,40.38,39.10,18233200
"Oct 14, 2025",39.80,40.58,39.76,40.55,39.27,22346100
"Oct 13, 2025",39.75,40.16,39.41,39.75,38.49,26453700
"Oct 10, 2025",40.25,40.61,39.82,39.85,38.59,38107700
"Oct 09, 2025",41.35,41.36,40.73,40.83,38.87,34868200
"Oct 08, 2025",41.54,41.54,41.06,41.32,39.34,35601000
"Oct 07, 2025",41.61,41.86,41.34,41.40,39.41,34001300
"Oct 06, 2025",43.25,43.38,41.35,41.44,39.45,75944200
"Oct 03, 2025",43.44,43.93,43.40,43.67,41.57,18016000
"Oct 02, 2025",43.58,43.72,43.22,43.40,41.32,21550100
"Oct 01, 2025",43.92,44.09,43.45,43.83,41.73,19921900
"Sep 30, 2025",43.24,43.97,43.19,43.95,41.84,24399100
"Sep 29, 2025",43.60,43.65,43.09,43.25,41.17,15854500
"Sep 26, 2025",43.65,43.71,43.45,43.61,41.52,12456200
"Sep 25, 2025",43.24,43.77,43.24,43.35,41.27,19012200
"Sep 24, 2025",43.20,43.39,42.96,43.18,41.11,21162400
"Sep 23, 2025",43.16,43.38,42.96,43.35,41.27,16796400
"Sep 22, 2025",43.38,43.52,42.98,43.16,41.09,18507700
"Sep 19, 2025",43.79,43.79,43.46,43.48,41.39,29164200
"Sep 18, 2025",43.88,43.95,43.58,43.67,41.57,16507300
"Sep 17, 2025",43.87,44.41,43.86,44.21,42.09,14414000
"Sep 16, 2025",43.87,43.95,43.30,43.74,41.64,16173600
"Sep 15, 2025",44.05,44.25,43.77,43.87,41.76,15034700
"Sep 12, 2025",44.01,44.09,43.77,43.97,41.86,13723500
"Sep 11, 2025",43.61,44.15,43.51,44.14,42.02,15510600
"Sep 10, 2025",43.49,43.67,43.01,43.49,41.40,14807800
"Sep 09, 2025",43.36,43.74,43.35,43.57,41.48,15595500
"Sep 08, 2025",42.98,43.62,42.94,43.32,41.24,30273900
"Sep 05, 2025",44.10,44.47,44.02,44.38,42.25,13406700
"Sep 04, 2025",44.07,44.42,43.93,44.18,42.06,14480500
"Sep 03, 2025",43.50,43.74,42.88,43.74,41.64,21828500
"Sep 02, 2025",44.16,44.48,43.51,43.80,41.70,21123700
"Aug 29, 2025",43.97,44.29,43.93,44.23,42.11,14792700
"Aug 28, 2025",44.10,44.19,43.69,43.93,41.82,15842800
