"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",353.65,355.20,350.69,350.71,349.99,3503200
"Dec 30, 2025",354.00,354.87,352.66,353.62,352.89,3366500
"Dec 29, 2025",355.49,356.55,353.80,354.61,353.88,3989900
"Dec 26, 2025",355.10,356.73,353.71,355.00,354.27,2017000
"Dec 24, 2025",353.38,355.99,353.01,355.14,354.41,2023600
"Dec 23, 2025",352.00,356.38,352.00,353.38,352.65,3703200
"Dec 22, 2025",350.00,353.44,349.59,352.09,351.37,5043500
"Dec 19, 2025",346.05,349.91,346.05,349.25,348.53,18623900
"Dec 18, 2025",345.17,347.53,344.27,346.01,345.30,6805000
"Dec 17, 2025",345.55,347.79,343.68,344.41,343.70,7263500
"Dec 16, 2025",346.00,347.62,343.72,345.11,344.40,7269300
"Dec 15, 2025",347.83,348.45,343.83,346.89,346.18,7004600
"Dec 12, 2025",348.00,349.84,345.97,347.83,347.11,6942300
"Dec 11, 2025",332.60,347.32,330.06,345.63,344.92,12953600
"Dec 10, 2025",326.64,328.76,325.30,325.73,325.06,5467500
"Dec 09, 2025",326.61,328.23,325.07,326.50,325.83,4325400
"Dec 08, 2025",329.88,331.34,324.71,326.84,326.17,6059400
"Dec 05, 2025",326.83,334.11,326.40,331.24,330.56,5266600
"Dec 04, 2025",331.28,332.38,324.28,327.10,326.43,6277500
"Dec 03, 2025",329.61,332.35,329.35,329.61,328.93,6296700
"Dec 02, 2025",331.45,332.80,327.21,329.62,328.94,8201900
"Dec 01, 2025",332.94,333.30,330.14,330.39,329.71,7082300
"Nov 28, 2025",333.43,335.02,332.00,334.44,333.75,4586200
"Nov 26, 2025",334.53,335.71,333.06,333.79,333.10,4309900
"Nov 25, 2025",328.90,336.06,328.90,334.53,333.84,5854300
"Nov 24, 2025",329.24,330.73,326.00,329.30,328.62,9337100
"Nov 21, 2025",325.38,331.08,324.29,327.98,327.31,8930000
"Nov 20, 2025",324.12,328.40,323.14,323.77,323.10,6510300
"Nov 19, 2025",321.52,324.57,319.87,324.12,323.45,7066700
"Nov 18, 2025",324.50,325.00,318.00,321.18,320.52,9170400
"Nov 17, 2025",331.16,333.36,324.93,325.75,325.08,6494800
"Nov 14, 2025",335.89,336.08,329.03,330.02,329.34,6422300
"Nov 13, 2025",339.04,341.46,335.60,336.08,335.39,4961700
"Nov 12, 2025",338.25,344.26,337.40,338.88,338.18,6389600
"Nov 11, 2025",335.50,339.09,333.20,338.92,337.55,4453300
"Nov 10, 2025",336.65,338.68,334.32,334.85,333.50,5295800
"Nov 07, 2025",336.73,338.29,334.85,336.02,334.67,5318400
"Nov 06, 2025",338.59,338.65,333.71,336.96,335.60,8507900
"Nov 05, 2025",340.13,342.11,336.36,340.04,338.67,4984600
"Nov 04, 2025",336.48,340.32,334.25,340.30,338.93,5920200
"Nov 03, 2025",341.00,341.21,334.82,336.90,335.54,5538000
"Oct 31, 2025",342.08,343.00,338.17,340.74,339.37,7301600
"Oct 30, 2025",342.22,349.72,341.79,345.03,343.64,6411800
"Oct 29, 2025",346.00,350.98,339.00,341.28,339.90,8361700
"Oct 28, 2025",348.58,349.89,346.50,346.90,345.50,7445400
"Oct 27, 2025",349.00,349.52,345.01,347.82,346.42,5400300
"Oct 24, 2025",348.20,349.08,345.32,347.38,345.98,3576700
"Oct 23, 2025",346.20,347.15,344.46,345.96,344.57,7217200
"Oct 22, 2025",347.82,348.17,344.50,345.36,343.97,5074400
"Oct 21, 2025",343.12,349.65,343.00,347.21,345.81,4121800
"Oct 20, 2025",341.90,344.96,338.94,344.41,343.02,4665000
"Oct 17, 2025",337.77,343.45,337.00,341.89,340.51,6267100
"Oct 16, 2025",345.00,345.69,334.17,335.40,334.05,6241500
"Oct 15, 2025",348.38,350.08,344.00,345.69,344.30,3778200
"Oct 14, 2025",341.00,350.01,340.22,348.38,346.98,5731000
"Oct 13, 2025",343.72,347.66,340.73,343.30,341.92,4030700
"Oct 10, 2025",347.63,350.40,343.25,343.65,342.26,6296200
"Oct 09, 2025",351.47,352.87,345.58,347.04,345.64,4434800
"Oct 08, 2025",353.78,355.00,351.10,351.36,349.94,3927500
"Oct 07, 2025",350.06,354.44,350.06,352.42,351.00,5044600
"Oct 06, 2025",350.01,351.12,344.35,349.28,347.87,4735600
"Oct 03, 2025",346.11,353.16,346.00,349.84,348.43,5199700
"Oct 02, 2025",346.22,347.18,343.56,345.95,344.56,5198000
"Oct 01, 2025",340.31,349.36,340.31,347.83,346.43,8381000
"Sep 30, 2025",339.82,345.61,338.51,341.38,340.00,8164400
"Sep 29, 2025",337.38,340.64,335.55,340.16,338.79,7217800
"Sep 26, 2025",337.23,339.50,336.23,337.37,336.01,9619200
"Sep 25, 2025",338.35,340.20,334.51,334.93,333.58,5398700
"Sep 24, 2025",339.13,339.90,337.92,338.68,337.31,5207400
"Sep 23, 2025",344.59,345.26,337.63,338.70,337.33,10142700
"Sep 22, 2025",339.01,344.86,338.66,344.36,342.97,5621800
"Sep 19, 2025",340.45,342.69,338.25,341.61,340.23,13674300
"Sep 18, 2025",344.73,345.27,338.18,338.18,336.82,7526600
"Sep 17, 2025",339.94,346.20,339.52,346.20,344.80,5763500
"Sep 16, 2025",336.24,340.54,333.47,340.03,338.66,5527700
"Sep 15, 2025",340.61,342.71,338.39,339.05,337.68,4367500
"Sep 12, 2025",341.22,343.19,339.17,339.43,338.06,3518300
