"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Dec 31, 2025",111.73,112.25,111.32,111.41,111.18,11487400
"Dec 30, 2025",111.89,112.69,111.84,111.92,111.69,11730600
"Dec 29, 2025",111.59,112.78,111.57,112.53,112.30,12979600
"Dec 26, 2025",111.72,111.97,111.36,111.74,111.51,9003800
"Dec 24, 2025",110.90,111.71,110.55,111.61,111.38,9009600
"Dec 23, 2025",111.99,112.35,110.70,110.90,110.67,20319900
"Dec 22, 2025",114.01,114.32,112.22,112.60,112.37,21473900
"Dec 19, 2025",115.14,115.28,113.53,114.36,114.13,50043800
"Dec 18, 2025",115.01,116.48,114.61,114.83,114.59,21476700
"Dec 17, 2025",115.20,116.39,115.07,115.66,115.42,16177800
"Dec 16, 2025",116.58,116.88,114.95,115.42,115.18,19642300
"Dec 15, 2025",116.93,117.45,115.64,116.79,116.55,18713700
"Dec 12, 2025",115.26,116.95,115.02,116.70,116.46,19092400
"Dec 11, 2025",113.14,115.87,112.85,115.52,115.05,21586600
"Dec 10, 2025",115.35,116.23,112.99,113.18,112.72,22859600
"Dec 09, 2025",113.95,115.72,113.02,115.06,114.59,24326700
"Dec 08, 2025",114.57,114.99,112.30,113.56,113.10,22700700
"Dec 05, 2025",114.73,116.27,114.68,115.11,114.64,23956400
"Dec 04, 2025",113.62,114.89,113.16,114.84,114.37,25905100
"Dec 03, 2025",112.50,114.89,112.22,114.41,113.94,24478300
"Dec 02, 2025",111.47,112.65,110.79,112.41,111.95,18711800
"Dec 01, 2025",110.51,111.76,110.36,111.53,111.08,17236800
"Nov 28, 2025",109.30,110.70,109.00,110.51,110.06,9846500
"Nov 26, 2025",107.20,109.59,107.17,109.10,108.66,17783300
"Nov 25, 2025",104.61,107.42,104.23,107.00,106.56,20212900
"Nov 24, 2025",105.36,106.27,103.76,104.06,103.64,42519200
"Nov 21, 2025",107.98,108.15,104.72,105.32,104.89,41420800
"Nov 20, 2025",103.94,107.91,102.68,107.11,106.67,50375900
"Nov 19, 2025",101.58,101.71,99.68,100.61,100.20,22157000
"Nov 18, 2025",102.98,103.34,101.38,101.39,100.98,17604500
"Nov 17, 2025",102.58,103.32,102.10,102.95,102.53,15289400
"Nov 14, 2025",100.20,102.49,98.88,102.48,102.06,23424200
"Nov 13, 2025",103.59,103.93,102.02,102.54,102.12,18088500
"Nov 12, 2025",103.35,103.60,102.66,103.44,103.02,12084400
"Nov 11, 2025",102.50,103.74,102.32,103.44,103.02,13182100
"Nov 10, 2025",102.15,102.67,101.60,102.42,102.00,14507600
"Nov 07, 2025",102.13,102.97,101.73,102.59,102.17,17248700
"Nov 06, 2025",101.34,101.93,100.03,101.68,101.27,14866000
"Nov 05, 2025",101.74,102.68,100.85,101.47,101.06,13356800
"Nov 04, 2025",102.13,102.62,101.46,102.27,101.85,12636400
"Nov 03, 2025",100.82,101.80,100.40,101.59,101.18,14811700
"Oct 31, 2025",101.70,102.10,100.18,101.18,100.77,20237000
"Oct 30, 2025",102.20,103.37,101.96,102.23,101.81,14065100
"Oct 29, 2025",102.91,103.67,102.11,102.46,102.04,11986400
"Oct 28, 2025",104.06,104.14,103.05,103.17,102.75,13323000
"Oct 27, 2025",106.34,106.36,104.15,104.47,104.04,16375900
"Oct 24, 2025",107.07,107.17,105.51,106.17,105.74,10318000
"Oct 23, 2025",107.35,107.57,105.78,106.86,106.42,11408200
"Oct 22, 2025",106.55,107.77,105.66,107.14,106.70,12296500
"Oct 21, 2025",107.33,107.48,106.18,106.22,105.79,10899700
"Oct 20, 2025",107.85,108.25,106.61,107.05,106.61,10581200
"Oct 17, 2025",107.17,108.20,106.22,107.73,107.29,13735600
"Oct 16, 2025",109.20,109.58,105.66,106.47,106.04,16366200
"Oct 15, 2025",107.32,109.56,107.30,109.03,108.59,21416300
"Oct 14, 2025",104.05,107.92,102.89,107.21,106.77,30859500
"Oct 13, 2025",101.37,102.45,101.07,102.12,101.70,10871200
"Oct 10, 2025",102.05,103.63,101.52,101.84,101.42,18519400
"Oct 09, 2025",103.13,103.45,100.37,101.77,101.35,19508000
"Oct 08, 2025",103.02,103.26,102.15,102.90,102.48,13584100
"Oct 07, 2025",102.38,103.25,100.95,103.24,102.82,15538900
"Oct 06, 2025",101.88,103.07,101.58,102.70,102.28,13303600
"Oct 03, 2025",101.46,102.82,101.20,102.07,101.65,11867500
"Oct 02, 2025",101.45,102.14,99.87,101.70,101.29,15605400
"Oct 01, 2025",102.56,102.86,100.55,101.96,101.54,16142800
"Sep 30, 2025",103.00,103.94,102.72,103.06,102.64,13873400
"Sep 29, 2025",103.05,103.31,102.08,103.08,102.66,15477200
